DEBIT	CREDIT	TRANSFERID	CREATEDDATE
0.02	0.55	1478703436	30-DEC-25
0.02	0.55	1478703474	30-DEC-25
0.5	0	1478703498	30-DEC-25
0	0.5	1478703505	30-DEC-25
0.02	0.55	1478703522	30-DEC-25
0.02	0.55	1478703547	30-DEC-25
0	0.4	1478703556	30-DEC-25
0.02	0.55	1478703733	30-DEC-25
0.6	0	1478703746	30-DEC-25
0.02	0.25	1478703752	30-DEC-25
0.02	0.3	1478703764	30-DEC-25
0.02	0.55	1478703900	30-DEC-25
0	0.5	1478703943	30-DEC-25
0.02	0.55	1478703958	30-DEC-25
0	0.2	1478704173	30-DEC-25
0.02	0.55	1478704179	30-DEC-25
0.02	1.05	1478704374	30-DEC-25
0.02	0.55	1478704413	30-DEC-25
0.02	0.8	1478704443	30-DEC-25
0.02	0.55	1478704512	30-DEC-25
0.02	0.55	1478704540	30-DEC-25
0	0.5	1478704697	30-DEC-25
0	0.5	1478704718	30-DEC-25
0	0.2	1478704738	30-DEC-25
0.02	0.55	1478704846	30-DEC-25
0	0.5	1478704854	30-DEC-25
0	0.5	1478704969	30-DEC-25
0.2	0	1478704970	30-DEC-25
0.02	0.55	1478705098	30-DEC-25
0.3	0	1478705158	30-DEC-25
0.3	0	1478705205	30-DEC-25
0.02	1.05	1478705371	30-DEC-25
0.02	1.05	1478705374	30-DEC-25
0.02	0.55	1478705413	30-DEC-25
0.02	0.55	1478705463	30-DEC-25
0	1	1478705514	30-DEC-25
0	0.5	1478705517	30-DEC-25
0	0.25	1478705650	30-DEC-25
0.02	0.55	1478705672	30-DEC-25
0.02	0.55	1478705826	30-DEC-25
2	0	1478706206	30-DEC-25
0.02	0.35	1478706264	30-DEC-25
0.02	0.55	1478706305	30-DEC-25
0.02	0.55	1478706392	30-DEC-25
0.02	0.55	1478706460	30-DEC-25
0.5	0	1478706632	30-DEC-25
0.02	0.55	1478706737	30-DEC-25
0	0.25	1478706767	30-DEC-25
0.02	0.55	1478706858	30-DEC-25
0.02	0.55	1478706968	30-DEC-25
0	0.12	1478707079	30-DEC-25
0.02	0.55	1478707155	30-DEC-25
0.02	0.55	1478707290	30-DEC-25
1.5	0	1478707312	30-DEC-25
0.02	0.55	1478707440	30-DEC-25
0.02	0.55	1478707466	30-DEC-25
0.02	0.55	1478707506	30-DEC-25
1	0	1478707649	30-DEC-25
0.3	0	1478708066	30-DEC-25
0.02	0.55	1478708239	30-DEC-25
0.02	0.3	1478708339	30-DEC-25
0.02	0.55	1478708367	30-DEC-25
0	0.12	1478708379	30-DEC-25
0.02	2.1	1478708430	30-DEC-25
2.5	0	1478708569	30-DEC-25
3	0	1478708625	30-DEC-25
0.02	0.3	1478708645	30-DEC-25
0	0.25	1478708710	30-DEC-25
3	0	1478708722	30-DEC-25
0.02	0.55	1478708766	30-DEC-25
0.02	0.55	1478708874	30-DEC-25
0.02	0.55	1478708888	30-DEC-25
0.02	0.55	1478708905	30-DEC-25
0.85	0	1478708953	30-DEC-25
0	0.5	1478709141	30-DEC-25
0.02	0.55	1478709158	30-DEC-25
0.02	0.55	1478709184	30-DEC-25
0.02	0.55	1478709215	30-DEC-25
0	0.5	1478709320	30-DEC-25
0.02	0.35	1478709413	30-DEC-25
0	0.5	1478709576	30-DEC-25
0.02	0.55	1478709580	30-DEC-25
0.02	0.55	1478709663	30-DEC-25
0	0.5	1478709722	30-DEC-25
0.02	0.55	1478709767	30-DEC-25
0.02	0.55	1478709898	30-DEC-25
0	0.5	1478710009	30-DEC-25
0	0.5	1478710057	30-DEC-25
0.1	0	1478710071	30-DEC-25
0.02	0.55	1478710081	30-DEC-25
0	0.5	1478710111	30-DEC-25
0.02	0.55	1478710142	30-DEC-25
0.02	0.55	1478710209	30-DEC-25
0	0.5	1478710264	30-DEC-25
0.02	0.55	1478710313	30-DEC-25
0.02	0.55	1478710347	30-DEC-25
0	0.5	1478710385	30-DEC-25
0.02	0.55	1478710591	30-DEC-25
0.02	0.55	1478710650	30-DEC-25
0.02	0.55	1478710809	30-DEC-25
0	0.5	1478710880	30-DEC-25
0.02	2.1	1478710976	30-DEC-25
1.1	0	1478710991	30-DEC-25
0.02	0.35	1478711087	30-DEC-25
0	0.5	1478711111	30-DEC-25
0	0.25	1478711122	30-DEC-25
0.02	0.55	1478711227	30-DEC-25
0.02	0.55	1478711314	30-DEC-25
0	0.25	1478711451	30-DEC-25
0.02	0.55	1478711501	30-DEC-25
0.02	0.55	1478711523	30-DEC-25
0.02	0.55	1478711603	30-DEC-25
0.02	0.55	1478711735	30-DEC-25
0	0.5	1478711788	30-DEC-25
0.3	0	1478712032	30-DEC-25
0	0.5	1478712041	30-DEC-25
0.02	0.25	1478712056	30-DEC-25
0.02	0.55	1478712100	30-DEC-25
0	0.12	1478712133	30-DEC-25
0.02	0.55	1478712190	30-DEC-25
0.02	0.55	1478712198	30-DEC-25
0.02	0.65	1478712229	30-DEC-25
0.02	0.55	1478712240	30-DEC-25
0	0.37	1478712278	30-DEC-25
0	0.25	1478712689	30-DEC-25
0	0.5	1478712818	30-DEC-25
2	0	1478712892	30-DEC-25
0.02	0.55	1478712916	30-DEC-25
0	0.5	1478713058	30-DEC-25
0.02	0.45	1478713061	30-DEC-25
0	0.3	1478713067	30-DEC-25
0.02	0.55	1478713160	30-DEC-25
0.02	0.55	1478713260	30-DEC-25
0.02	0.55	1478713355	30-DEC-25
3	0	1478713395	30-DEC-25
0	0.5	1478713450	30-DEC-25
0.1	0	1478713454	30-DEC-25
0	0.5	1478713538	30-DEC-25
0.02	1.05	1478713548	30-DEC-25
0	0.25	1478713755	30-DEC-25
0.02	0.55	1478713900	30-DEC-25
0	0.5	1478713996	30-DEC-25
0.02	1.05	1478714036	30-DEC-25
0	0.12	1478714094	30-DEC-25
0.05	0	1478714111	30-DEC-25
0	0.5	1478714113	30-DEC-25
0.02	0.55	1478714137	30-DEC-25
0	0.5	1478714154	30-DEC-25
0.02	0.55	1478714220	30-DEC-25
0.02	0.55	1478714275	30-DEC-25
0.02	0.55	1478714329	30-DEC-25
0.02	0.55	1478714422	30-DEC-25
0.02	0.55	1478714424	30-DEC-25
0.02	2.1	1478714425	30-DEC-25
0.02	0.55	1478714438	30-DEC-25
0	0.5	1478714548	30-DEC-25
0.02	0.55	1478714587	30-DEC-25
0.02	0.55	1478714621	30-DEC-25
0.02	0.55	1478714798	30-DEC-25
0	0.5	1478714804	30-DEC-25
0.02	1.05	1478714835	30-DEC-25
0.02	0.55	1478714875	30-DEC-25
0.3	0	1478714882	30-DEC-25
0.02	0.55	1478714913	30-DEC-25
0.02	0.55	1478714950	30-DEC-25
0.02	0.55	1478715162	30-DEC-25
0.02	0.85	1478715334	30-DEC-25
0.02	1.05	1478715369	30-DEC-25
0.02	0.55	1478715401	30-DEC-25
0	0.12	1478715476	30-DEC-25
0.02	0.55	1478715543	30-DEC-25
0	0.5	1478715545	30-DEC-25
0.02	0.55	1478715657	30-DEC-25
0.6	0	1478715684	30-DEC-25
0	0.5	1478715694	30-DEC-25
0.02	0.55	1478715737	30-DEC-25
0.02	0.55	1478715793	30-DEC-25
0	0.2	1478715799	30-DEC-25
23	0	1478715940	30-DEC-25
0	0.5	1478715961	30-DEC-25
0.02	0.55	1478716248	30-DEC-25
0	0.5	1478716314	30-DEC-25
0	0.5	1478716452	30-DEC-25
2	0	1478716527	30-DEC-25
0	0.5	1478716579	30-DEC-25
0	0.25	1478716663	30-DEC-25
0.02	0.55	1478716777	30-DEC-25
0	0.5	1478716855	30-DEC-25
0	0.25	1478716949	30-DEC-25
0.02	0.25	1478717123	30-DEC-25
0.02	0.55	1478717243	30-DEC-25
0.02	0.3	1478717304	30-DEC-25
0	0.5	1478717361	30-DEC-25
0	0.5	1478717585	30-DEC-25
0.02	0.65	1478717743	30-DEC-25
0.02	0.55	1478717756	30-DEC-25
0	0.25	1478717832	30-DEC-25
0	0.5	1478717859	30-DEC-25
0.02	0.55	1478717872	30-DEC-25
0.2	0	1478717985	30-DEC-25
0.02	0.55	1478718040	30-DEC-25
0.16	0	1478718063	30-DEC-25
0.02	0.55	1478718110	30-DEC-25
0.02	0.55	1478718182	30-DEC-25
0.02	0.55	1478718254	30-DEC-25
0.02	0.55	1478718454	30-DEC-25
0.5	0	1478718503	30-DEC-25
0.02	1.05	1478718581	30-DEC-25
0	0.5	1478718585	30-DEC-25
0.02	0.55	1478718694	30-DEC-25
0.02	0.55	1478718715	30-DEC-25
0	0.12	1478718841	30-DEC-25
0.02	0.55	1478719001	30-DEC-25
0	0.25	1478719120	30-DEC-25
0.02	0.55	1478719131	30-DEC-25
0	0.5	1478719244	30-DEC-25
0.02	0.55	1478719322	30-DEC-25
0.02	2.1	1478719442	30-DEC-25
0.02	0.55	1478719883	30-DEC-25
0.02	0.55	1478719940	30-DEC-25
0	0.5	1478720002	30-DEC-25
0.02	0.55	1478720091	30-DEC-25
0.02	0.55	1478720130	30-DEC-25
0.02	1.05	1478720204	30-DEC-25
0	0.12	1478720233	30-DEC-25
0	1	1478720248	30-DEC-25
0.1	0	1478720498	30-DEC-25
0	0.5	1478720513	30-DEC-25
0	0.5	1478720539	30-DEC-25
0.02	0.55	1478720637	30-DEC-25
0	0.5	1478720666	30-DEC-25
0.02	0.55	1478720681	30-DEC-25
0	0.12	1478720725	30-DEC-25
0.02	0.55	1478720729	30-DEC-25
0	0.5	1478720739	30-DEC-25
0.1	0	1478720804	30-DEC-25
0.02	0.55	1478720867	30-DEC-25
1	0	1478720891	30-DEC-25
0	0.5	1478721055	30-DEC-25
0.02	0.55	1478721106	30-DEC-25
0	0.5	1478721139	30-DEC-25
0.1	0	1478721166	30-DEC-25
0.02	0.55	1478721173	30-DEC-25
0.02	0.55	1478721197	30-DEC-25
0.1	0	1478721213	30-DEC-25
0	0.5	1478721223	30-DEC-25
0.02	0.55	1478721229	30-DEC-25
0.1	0	1478721369	30-DEC-25
0	0.25	1478721406	30-DEC-25
0	0.25	1478721445	30-DEC-25
0.02	0.55	1478721479	30-DEC-25
0.02	0.55	1478721607	30-DEC-25
0.02	0.55	1478721629	30-DEC-25
0	0.25	1478721715	30-DEC-25
0	4.75	1478721720	30-DEC-25
0.02	0.55	1478721819	30-DEC-25
0.2	0	1478721939	30-DEC-25
0	0.5	1478722121	30-DEC-25
0	0.5	1478722278	30-DEC-25
0.5	0	1478722472	30-DEC-25
0.02	0.55	1478722518	30-DEC-25
0.02	0.55	1478722621	30-DEC-25
0	0.25	1478722637	30-DEC-25
0	0.5	1478722680	30-DEC-25
0	0.5	1478722804	30-DEC-25
0	0.12	1478722899	30-DEC-25
0	0.12	1478722902	30-DEC-25
0.02	0.55	1478723141	30-DEC-25
0.02	0.55	1478723231	30-DEC-25
0.02	0.55	1478723263	30-DEC-25
0.02	0.55	1478723362	30-DEC-25
0	0.5	1478723452	30-DEC-25
0.3	0	1478723483	30-DEC-25
0	0.28	1478723499	30-DEC-25
0.02	0.55	1478723762	30-DEC-25
0.02	0.55	1478723763	30-DEC-25
0	0.25	1478723876	30-DEC-25
0	0.5	1478723888	30-DEC-25
0	0.5	1478723893	30-DEC-25
0	0.5	1478723917	30-DEC-25
0.02	0.55	1478723924	30-DEC-25
0.02	0.55	1478723948	30-DEC-25
0	0.5	1478724019	30-DEC-25
0	0.5	1478724033	30-DEC-25
0	0.4	1478724136	30-DEC-25
0	0.5	1478724237	30-DEC-25
0.02	0.55	1478724430	30-DEC-25
2	0	1478724446	30-DEC-25
0	0.5	1478724508	30-DEC-25
0	0.5	1478724624	30-DEC-25
0.02	0.55	1478724640	30-DEC-25
0.02	0.55	1478724674	30-DEC-25
0	0.5	1478724676	30-DEC-25
0	0.25	1478724702	30-DEC-25
0.02	0.55	1478724708	30-DEC-25
0.8	0	1478724714	30-DEC-25
0.02	0.3	1478724768	30-DEC-25
0.02	0.55	1478724794	30-DEC-25
0.02	0.55	1478724798	30-DEC-25
0.02	1.05	1478724913	30-DEC-25
0.02	0.55	1478724921	30-DEC-25
0.02	0.55	1478724933	30-DEC-25
0	6	1478724940	30-DEC-25
0	0.5	1478725076	30-DEC-25
0.02	0.55	1478725377	30-DEC-25
0	6	1478725465	30-DEC-25
0.2	0	1478725581	30-DEC-25
0.5	0	1478725699	30-DEC-25
0	0.12	1478725761	30-DEC-25
0.02	0.55	1478725871	30-DEC-25
0.02	0.55	1478725908	30-DEC-25
0.02	0.55	1478726007	30-DEC-25
0.5	0	1478726034	30-DEC-25
0	0.5	1478726076	30-DEC-25
0.4	0	1478726191	30-DEC-25
0	0.5	1478726208	30-DEC-25
0	0.5	1478726212	30-DEC-25
0	0.5	1478726265	30-DEC-25
0.3	0	1478726283	30-DEC-25
0.02	0.55	1478726286	30-DEC-25
3	0	1478726329	30-DEC-25
0.02	0.55	1478726349	30-DEC-25
0.02	0.55	1478726527	30-DEC-25
0.02	0.55	1478726585	30-DEC-25
0	0.25	1478726645	30-DEC-25
0.02	0.25	1478726687	30-DEC-25
0.07	0	1478726739	30-DEC-25
0	0.5	1478726753	30-DEC-25
0	0.5	1478726792	30-DEC-25
0.01	0	1478726951	30-DEC-25
0	0.5	1478726996	30-DEC-25
0	1	1478726997	30-DEC-25
0.02	0.92	1478727169	30-DEC-25
0.5	0	1478727292	30-DEC-25
0.02	1.05	1478727324	30-DEC-25
0.02	0.55	1478727406	30-DEC-25
0.02	0.55	1478727421	30-DEC-25
0	0.5	1478727598	30-DEC-25
0.3	0	1478727710	30-DEC-25
0	0.5	1478727733	30-DEC-25
0.02	0.55	1478727787	30-DEC-25
10	0	1478727880	30-DEC-25
0	0.5	1478728088	30-DEC-25
0.1	0	1478728110	30-DEC-25
0.02	0.55	1478728230	30-DEC-25
0	0.5	1478728231	30-DEC-25
0	0.25	1478728322	30-DEC-25
19	0	1478728363	30-DEC-25
0	0.5	1478728705	30-DEC-25
0	0.5	1478728724	30-DEC-25
1	0	1478728932	30-DEC-25
0.02	0.55	1478729000	30-DEC-25
0.02	0.55	1478729071	30-DEC-25
0	0.5	1478729095	30-DEC-25
0	0.5	1478729143	30-DEC-25
0.02	0.55	1478729182	30-DEC-25
0.02	0.55	1478729281	30-DEC-25
0	0.5	1478729430	30-DEC-25
0	0.5	1478729433	30-DEC-25
0	0.5	1478729486	30-DEC-25
0.02	0.55	1478729503	30-DEC-25
0.02	0.55	1478729631	30-DEC-25
0.02	0.55	1478729633	30-DEC-25
0	0.25	1478729800	30-DEC-25
0.02	0.55	1478729807	30-DEC-25
0	0.5	1478730001	30-DEC-25
0	0.5	1478730020	30-DEC-25
0	0.25	1478730063	30-DEC-25
0.02	0.55	1478730104	30-DEC-25
0.02	0.175	1478730227	30-DEC-25
0	1.5	1478730230	30-DEC-25
0	0.5	1478730327	30-DEC-25
3	0	1478730364	30-DEC-25
0	0.5	1478730406	30-DEC-25
0	0.5	1478730407	30-DEC-25
0	0.2	1478730408	30-DEC-25
0	0.5	1478730537	30-DEC-25
0.02	4.15	1478730679	30-DEC-25
0.02	0.55	1478730979	30-DEC-25
0.02	0.55	1478731000	30-DEC-25
0.02	0.55	1478731019	30-DEC-25
0	0.5	1478731025	30-DEC-25
0	0.5	1478731091	30-DEC-25
0.02	0.55	1478731148	30-DEC-25
0	0.5	1478731237	30-DEC-25
0.02	0.55	1478731279	30-DEC-25
0.02	0.55	1478731372	30-DEC-25
0	0.5	1478731379	30-DEC-25
0.2	0	1478731480	30-DEC-25
0.1	0	1478731513	30-DEC-25
0	0.5	1478731637	30-DEC-25
0	0.5	1478731665	30-DEC-25
0.3	0	1478731688	30-DEC-25
0	0.5	1478731708	30-DEC-25
0.02	0.55	1478731720	30-DEC-25
0.02	0.55	1478731734	30-DEC-25
0.02	0.55	1478731776	30-DEC-25
0	0.25	1478731819	30-DEC-25
0	0.12	1478731889	30-DEC-25
0	0.5	1478732018	30-DEC-25
0	0.5	1478732076	30-DEC-25
0	0.5	1478732230	30-DEC-25
0	10	1478732273	30-DEC-25
0	0.5	1478732308	30-DEC-25
0	0.5	1478732390	30-DEC-25
0	0.5	1478732574	30-DEC-25
0.02	0.55	1478732578	30-DEC-25
0.02	0.55	1478732684	30-DEC-25
0	0.5	1478732697	30-DEC-25
0	0.12	1478732701	30-DEC-25
0.02	0.55	1478732774	30-DEC-25
0	0.12	1478732792	30-DEC-25
0.45	0	1478732795	30-DEC-25
0	0.5	1478732823	30-DEC-25
0.02	2.1	1478732900	30-DEC-25
0	0.5	1478732981	30-DEC-25
0.02	0.3	1478733022	30-DEC-25
0.02	0.55	1478733118	30-DEC-25
0.5	0	1478733219	30-DEC-25
0	0.5	1478733294	30-DEC-25
0	0.25	1478733346	30-DEC-25
0	0.5	1478733466	30-DEC-25
0.02	0.55	1478733613	30-DEC-25
0	0.5	1478733790	30-DEC-25
0	0.5	1478733997	30-DEC-25
0	0.25	1478734060	30-DEC-25
0.1	0	1478734231	30-DEC-25
0.02	0.55	1478734239	30-DEC-25
0.3	0	1478734254	30-DEC-25
0.02	0.55	1478734386	30-DEC-25
0	0.5	1478734428	30-DEC-25
0	0.2	1478734549	30-DEC-25
0	0.2	1478735137	30-DEC-25
0	0.5	1478735149	30-DEC-25
0.02	0.55	1478735363	30-DEC-25
0	0.12	1478735389	30-DEC-25
0	0.25	1478735397	30-DEC-25
0.5	0	1478735463	30-DEC-25
0.2	0	1478735519	30-DEC-25
0.02	0.55	1478735581	30-DEC-25
0.02	0.55	1478735602	30-DEC-25
0	0.5	1478735732	30-DEC-25
0	0.5	1478736020	30-DEC-25
0	0.5	1478736037	30-DEC-25
0	0.21	1478736189	30-DEC-25
0.02	0.55	1478736272	30-DEC-25
0	0.5	1478736302	30-DEC-25
0	0.5	1478736375	30-DEC-25
0	0.5	1478736458	30-DEC-25
0	0.5	1478736544	30-DEC-25
0.02	0.55	1478736702	30-DEC-25
0.02	0.55	1478736824	30-DEC-25
0	0.5	1478736856	30-DEC-25
0	0.5	1478736861	30-DEC-25
1	0	1478736868	30-DEC-25
0.02	1.05	1478736998	30-DEC-25
0.02	0.55	1478737060	30-DEC-25
0	0.5	1478737176	30-DEC-25
0	0.7	1478737195	30-DEC-25
0.02	0.55	1478737260	30-DEC-25
0	0.5	1478737356	30-DEC-25
0.02	0.55	1478737452	30-DEC-25
1.5	0	1478737465	30-DEC-25
0	0.5	1478737748	30-DEC-25
0	0.5	1478737882	30-DEC-25
0.02	0.55	1478737937	30-DEC-25
0.02	0.2	1478737960	30-DEC-25
0.03	0	1478737968	30-DEC-25
0.02	1.05	1478738192	30-DEC-25
0.3	0	1478738279	30-DEC-25
0	0.7	1478738309	30-DEC-25
0	0.5	1478738463	30-DEC-25
0	0.12	1478738466	30-DEC-25
0	0.5	1478738469	30-DEC-25
0.02	0.55	1478738482	30-DEC-25
0.02	0.55	1478738506	30-DEC-25
0.02	1.6	1478738550	30-DEC-25
0	0.25	1478738682	30-DEC-25
0	0.25	1478738721	30-DEC-25
0	0.5	1478738973	30-DEC-25
0	0.5	1478739033	30-DEC-25
0	1	1478739059	30-DEC-25
0	1	1478739096	30-DEC-25
1.3	0	1478739115	30-DEC-25
0.02	0.55	1478739225	30-DEC-25
0.8	0	1478739247	30-DEC-25
0	0.5	1478739292	30-DEC-25
0	0.5	1478739308	30-DEC-25
0	0.5	1478739341	30-DEC-25
0.02	80.25	1478739601	30-DEC-25
0	0.8	1478739661	30-DEC-25
0.02	0.55	1478739706	30-DEC-25
0	0.5	1478739741	30-DEC-25
0.02	0.55	1478739763	30-DEC-25
0.02	0.55	1478739769	30-DEC-25
0	0.25	1478739821	30-DEC-25
0.02	0.55	1478739888	30-DEC-25
0.05	0	1478739946	30-DEC-25
0.02	0.55	1478739952	30-DEC-25
0.02	0.55	1478740081	30-DEC-25
0	0.5	1478740302	30-DEC-25
0	0.5	1478740407	30-DEC-25
0.02	0.55	1478740449	30-DEC-25
0	0.5	1478740515	30-DEC-25
0.02	0.55	1478740525	30-DEC-25
0	0.5	1478740552	30-DEC-25
0.02	0.55	1478740559	30-DEC-25
3	0	1478740653	30-DEC-25
0.02	0.2	1478740665	30-DEC-25
0.02	0.55	1478740688	30-DEC-25
0.2	0	1478740695	30-DEC-25
0.02	0.55	1478740725	30-DEC-25
0	0.46	1478740835	30-DEC-25
0	0.5	1478740924	30-DEC-25
0.02	0.55	1478740971	30-DEC-25
0	0.5	1478741017	30-DEC-25
0	0.5	1478741044	30-DEC-25
0.02	0.55	1478741098	30-DEC-25
0	0.11	1478741315	30-DEC-25
0	0.5	1478741450	30-DEC-25
0.02	0.3	1478741457	30-DEC-25
0.02	0.55	1478741460	30-DEC-25
0.9	0	1478741468	30-DEC-25
0	0.12	1478741512	30-DEC-25
0.02	0.55	1478741515	30-DEC-25
0	0.25	1478741526	30-DEC-25
0.02	0.55	1478741601	30-DEC-25
0.02	0.55	1478741645	30-DEC-25
0	1	1478741673	30-DEC-25
0.5	0	1478741729	30-DEC-25
0.02	0.55	1478741783	30-DEC-25
0	0.25	1478741884	30-DEC-25
0	0.5	1478741898	30-DEC-25
0	0.25	1478741914	30-DEC-25
0.02	0.55	1478741936	30-DEC-25
0.02	0.55	1478741987	30-DEC-25
0	0.9	1478742094	30-DEC-25
0	0.5	1478742254	30-DEC-25
0	2.56	1478742288	30-DEC-25
0	0.5	1478742314	30-DEC-25
1	0	1478742349	30-DEC-25
2	0	1478742421	30-DEC-25
0.02	0.55	1478742450	30-DEC-25
0.02	0.55	1478742494	30-DEC-25
1	0	1478742504	30-DEC-25
0	0.12	1478742506	30-DEC-25
0.02	15.125	1478742513	30-DEC-25
0.02	0.3	1478742523	30-DEC-25
0.02	0.55	1478742551	30-DEC-25
0.02	0.55	1478742562	30-DEC-25
0	0.5	1478742568	30-DEC-25
0.02	0.55	1478742689	30-DEC-25
0.02	0.55	1478742787	30-DEC-25
0.02	0.55	1478742824	30-DEC-25
0	0.5	1478742867	30-DEC-25
0	0.25	1478742915	30-DEC-25
0.02	0.55	1478743058	30-DEC-25
0	0.5	1478743137	30-DEC-25
0.02	0.55	1478743177	30-DEC-25
2.5	0	1478743252	30-DEC-25
0.02	0.3	1478743496	30-DEC-25
0	0.5	1478743534	30-DEC-25
0.02	0.55	1478743570	30-DEC-25
0	0.5	1478743634	30-DEC-25
0	0.5	1478743713	30-DEC-25
0	0.5	1478743733	30-DEC-25
0.02	0.65	1478743792	30-DEC-25
0	0.25	1478743954	30-DEC-25
0	0.25	1478743961	30-DEC-25
0	0.5	1478743993	30-DEC-25
0.02	0.55	1478744028	30-DEC-25
0	0.25	1478744058	30-DEC-25
0.1	0	1478744114	30-DEC-25
0.02	0.55	1478744240	30-DEC-25
0.02	0.55	1478744266	30-DEC-25
0.02	0.55	1478744299	30-DEC-25
0.02	0.55	1478744411	30-DEC-25
5	0	1478744432	30-DEC-25
0	0.5	1478744472	30-DEC-25
0.1	0	1478744533	30-DEC-25
0.02	0.17	1478744579	30-DEC-25
0.02	0.55	1478744715	30-DEC-25
0	0.5	1478744786	30-DEC-25
0.5	0	1478744827	30-DEC-25
0	0.5	1478744947	30-DEC-25
0.02	0.55	1478745055	30-DEC-25
0.02	0.55	1478745079	30-DEC-25
0	0.5	1478745147	30-DEC-25
0.02	0.55	1478745186	30-DEC-25
0	0.5	1478745354	30-DEC-25
3.5	0	1478745371	30-DEC-25
0.02	0.55	1478745658	30-DEC-25
0.02	0.55	1478745724	30-DEC-25
0.02	0.55	1478745749	30-DEC-25
0.02	0.55	1478745800	30-DEC-25
1	0	1478745830	30-DEC-25
0	0.5	1478745894	30-DEC-25
0.02	0.55	1478745955	30-DEC-25
0.02	0.55	1478746002	30-DEC-25
0.02	0.55	1478746055	30-DEC-25
1.1	0	1478746138	30-DEC-25
0.02	0.55	1478746174	30-DEC-25
0.02	0.55	1478746228	30-DEC-25
0	0.5	1478746230	30-DEC-25
0.02	0.55	1478746235	30-DEC-25
