CREDIT	DEBIT	CHTRANSFERID	CREATEDDATE
0	2.02	1478686422	30-Dec-25
7	0	1478686423	30-Dec-25
2.12	0.05	1478686424	30-Dec-25
6.12	0.05	1478686427	30-Dec-25
0	1.35	1478686430	30-Dec-25
0	0.5	1478686432	30-Dec-25
0.4	0	1478686433	30-Dec-25
6.12	0.05	1478686434	30-Dec-25
0	0.5	1478686435	30-Dec-25
1.07	0.025	1478686443	30-Dec-25
0.5	0	1478686444	30-Dec-25
0.3	0	1478686446	30-Dec-25
10.12	0.05	1478686447	30-Dec-25
0	0.12	1478686448	30-Dec-25
1.025	0.0025	1478686449	30-Dec-25
0.45	0	1478686451	30-Dec-25
0.4	0	1478686452	30-Dec-25
0	0.5	1478686453	30-Dec-25
0	101	1478686454	30-Dec-25
27	0	1478686455	30-Dec-25
0	0.5	1478686457	30-Dec-25
0	0.9	1478686458	30-Dec-25
0.5	0	1478686461	30-Dec-25
0	1.3	1478686462	30-Dec-25
0	1.6	1478686463	30-Dec-25
100.27	0.125	1478686465	30-Dec-25
0	0.1	1478686469	30-Dec-25
0	0.3	1478686470	30-Dec-25
0	9	1478686475	30-Dec-25
30.17	0.075	1478686478	30-Dec-25
0	13	1478686482	30-Dec-25
0	2	1478686484	30-Dec-25
0	4	1478686486	30-Dec-25
0	0.25	1478686487	30-Dec-25
7.12	0.05	1478686488	30-Dec-25
0	1.97	1478686492	30-Dec-25
1.07	0.025	1478686494	30-Dec-25
0	3.5	1478686495	30-Dec-25
0.7	0	1478686496	30-Dec-25
0	0.2	1478686497	30-Dec-25
8	0	1478686498	30-Dec-25
0.02	100.25	1478686501	30-Dec-25
0	5	1478686504	30-Dec-25
0	3.7	1478686507	30-Dec-25
2.12	0.05	1478686508	30-Dec-25
0	30	1478686509	30-Dec-25
0	0.3	1478686510	30-Dec-25
0	8	1478686511	30-Dec-25
30	0	1478686512	30-Dec-25
0.9	0	1478686515	30-Dec-25
0	21	1478686519	30-Dec-25
1.9	0	1478686520	30-Dec-25
0	346	1478686522	30-Dec-25
0	1.6	1478686524	30-Dec-25
1	0	1478686527	30-Dec-25
0.57	0.025	1478686530	30-Dec-25
5.12	0.05	1478686533	30-Dec-25
54.11	0.45	1478686540	30-Dec-25
10	0	1478686541	30-Dec-25
76	0	1478686543	30-Dec-25
1	0	1478686545	30-Dec-25
6.12	0.05	1478686546	30-Dec-25
8	0	1478686550	30-Dec-25
1.5	0	1478686551	30-Dec-25
1	0	1478686552	30-Dec-25
10000	0	1478686553	30-Dec-25
300.62	0.3	1478686556	30-Dec-25
0.02	40.2	1478686563	30-Dec-25
0.02	5.1	1478686566	30-Dec-25
0	0.5	1478686567	30-Dec-25
1	0	1478686568	30-Dec-25
0.02	1.35	1478686569	30-Dec-25
0	1.2	1478686577	30-Dec-25
8.75	0	1478686578	30-Dec-25
0	4.5	1478686583	30-Dec-25
7.12	0.05	1478686584	30-Dec-25
0	141	1478686585	30-Dec-25
48.22	0.1	1478686587	30-Dec-25
150	0	1478686589	30-Dec-25
0	3	1478686592	30-Dec-25
49.22	0.1	1478686593	30-Dec-25
2.02	0.05	1478686594	30-Dec-25
0	0.25	1478686596	30-Dec-25
0	50.45	1478686598	30-Dec-25
0.57	0.025	1478686600	30-Dec-25
0	2.1	1478686601	30-Dec-25
0	0.4	1478686602	30-Dec-25
0	201.8	1478686606	30-Dec-25
0.02	201	1478686607	30-Dec-25
0.3	0	1478686608	30-Dec-25
0	2	1478686613	30-Dec-25
0.02	0.45	1478686615	30-Dec-25
12	0	1478686617	30-Dec-25
0.3	0	1478686618	30-Dec-25
1	0	1478686619	30-Dec-25
0	202	1478686620	30-Dec-25
6	0	1478686621	30-Dec-25
0	50.5	1478686624	30-Dec-25
1	0	1478686625	30-Dec-25
4	0	1478686626	30-Dec-25
0.95	0	1478686631	30-Dec-25
35	0	1478686633	30-Dec-25
0.7	0	1478686634	30-Dec-25
0	2	1478686635	30-Dec-25
0	26	1478686636	30-Dec-25
0	6	1478686639	30-Dec-25
0	1	1478686641	30-Dec-25
0.37	0.025	1478686644	30-Dec-25
0	30.216	1478686645	30-Dec-25
0	373.24	1478686646	30-Dec-25
0.02	2.1	1478686648	30-Dec-25
0	8	1478686652	30-Dec-25
4	0	1478686653	30-Dec-25
0	1	1478686654	30-Dec-25
43	0	1478686655	30-Dec-25
0	181.44	1478686656	30-Dec-25
0	50.45	1478686658	30-Dec-25
0	20.18	1478686659	30-Dec-25
1.02	0.025	1478686662	30-Dec-25
0	0.5	1478686664	30-Dec-25
0	130.936	1478686665	30-Dec-25
0	70.54	1478686666	30-Dec-25
0	0.1	1478686668	30-Dec-25
0	20.18	1478686669	30-Dec-25
0	20.18	1478686670	30-Dec-25
0	1	1478686672	30-Dec-25
0	30	1478686673	30-Dec-25
2	0	1478686683	30-Dec-25
0	0.3	1478686687	30-Dec-25
0	0.5	1478686688	30-Dec-25
1.79	0	1478686690	30-Dec-25
0.5	0	1478686698	30-Dec-25
50.22	0.1	1478686700	30-Dec-25
120.25	0	1478686701	30-Dec-25
3.5	0	1478686703	30-Dec-25
0	0.1	1478686706	30-Dec-25
0	50.18	1478686708	30-Dec-25
0	0.25	1478686710	30-Dec-25
0	40	1478686712	30-Dec-25
0.02	0.55	1478686713	30-Dec-25
0	100.36	1478686714	30-Dec-25
0	151.62	1478686715	30-Dec-25
0.5	0	1478686722	30-Dec-25
0	504.5	1478686726	30-Dec-25
0	0.5	1478686727	30-Dec-25
0	352.52	1478686728	30-Dec-25
1.25	0	1478686729	30-Dec-25
2.12	0.05	1478686730	30-Dec-25
0	15	1478686731	30-Dec-25
0	151.35	1478686733	30-Dec-25
0	201.8	1478686734	30-Dec-25
0	3	1478686735	30-Dec-25
200.42	0.2	1478686737	30-Dec-25
0	8	1478686745	30-Dec-25
0	60.432	1478686749	30-Dec-25
0	2	1478686752	30-Dec-25
0.92	0.025	1478686754	30-Dec-25
75	0	1478686755	30-Dec-25
0	100.54	1478686759	30-Dec-25
0	501.6204	1478686760	30-Dec-25
10	0	1478686761	30-Dec-25
1	0	1478686764	30-Dec-25
0.44	0	1478686765	30-Dec-25
2	0	1478686767	30-Dec-25
0	201.8	1478686770	30-Dec-25
0	100.72	1478686771	30-Dec-25
0.02	1.3	1478686772	30-Dec-25
22.17	0.075	1478686776	30-Dec-25
0	50.36	1478686778	30-Dec-25
0	8	1478686780	30-Dec-25
0.02	3.89	1478686781	30-Dec-25
0.02	67.1675	1478686787	30-Dec-25
0	2	1478686790	30-Dec-25
0	0.12	1478686791	30-Dec-25
0	50.18	1478686793	30-Dec-25
4	0	1478686794	30-Dec-25
0	0.3	1478686795	30-Dec-25
0	0.5	1478686796	30-Dec-25
0	303	1478686798	30-Dec-25
0.02	0.55	1478686800	30-Dec-25
0	6	1478686801	30-Dec-25
0	1	1478686804	30-Dec-25
0	10	1478686806	30-Dec-25
0	0.73	1478686807	30-Dec-25
0	0.3	1478686809	30-Dec-25
0	15	1478686814	30-Dec-25
0	0.4	1478686816	30-Dec-25
15.145	0.0625	1478686817	30-Dec-25
0.5	0	1478686818	30-Dec-25
0	426.3758	1478686819	30-Dec-25
0	1.4	1478686825	30-Dec-25
0	3	1478686835	30-Dec-25
0	0.5	1478686836	30-Dec-25
0	1	1478686837	30-Dec-25
0	0.5	1478686840	30-Dec-25
1.07	0.025	1478686842	30-Dec-25
0	0.5	1478686845	30-Dec-25
0	15	1478686846	30-Dec-25
0	5	1478686849	30-Dec-25
0	13	1478686850	30-Dec-25
0	0.5	1478686851	30-Dec-25
0	9	1478686852	30-Dec-25
10	0	1478686853	30-Dec-25
0.9	0	1478686854	30-Dec-25
0	4	1478686856	30-Dec-25
0	10.025	1478686858	30-Dec-25
0	74.9	1478686860	30-Dec-25
0	1	1478686863	30-Dec-25
6.12	0.05	1478686864	30-Dec-25
0.25	0	1478686865	30-Dec-25
0	0.5	1478686866	30-Dec-25
0	151.08	1478686867	30-Dec-25
0.25	0	1478686868	30-Dec-25
40	0	1478686869	30-Dec-25
0	15	1478686872	30-Dec-25
0.97	0.025	1478686877	30-Dec-25
0.25	0	1478686878	30-Dec-25
10	0	1478686882	30-Dec-25
0	2.5	1478686883	30-Dec-25
100.27	0.125	1478686884	30-Dec-25
0.1	0	1478686885	30-Dec-25
1	0	1478686886	30-Dec-25
1.2	0	1478686891	30-Dec-25
0	0.5	1478686894	30-Dec-25
0	0.4	1478686895	30-Dec-25
0	0.5	1478686897	30-Dec-25
0	3	1478686900	30-Dec-25
1	0	1478686901	30-Dec-25
1	0	1478686902	30-Dec-25
0.12	0	1478686903	30-Dec-25
0	0.7	1478686906	30-Dec-25
0	100.9	1478686907	30-Dec-25
10.12	0.05	1478686908	30-Dec-25
0	11.01	1478686911	30-Dec-25
20	0	1478686912	30-Dec-25
0.15	0	1478686913	30-Dec-25
0.02	2.1	1478686915	30-Dec-25
0.5	0	1478686916	30-Dec-25
0.02	70.25	1478686917	30-Dec-25
20.145	0.0625	1478686918	30-Dec-25
101.222	0.101	1478686919	30-Dec-25
0	18	1478686920	30-Dec-25
0.5	0	1478686923	30-Dec-25
0	95	1478686924	30-Dec-25
0.25	0	1478686931	30-Dec-25
2	0	1478686932	30-Dec-25
2.6	0	1478686937	30-Dec-25
0	10	1478686938	30-Dec-25
3	0	1478686941	30-Dec-25
0	11	1478686943	30-Dec-25
0	237	1478686946	30-Dec-25
1	0	1478686948	30-Dec-25
0	3.5	1478686949	30-Dec-25
19	0	1478686950	30-Dec-25
0	7.5	1478686952	30-Dec-25
13	0	1478686953	30-Dec-25
10	0	1478686956	30-Dec-25
8.9	0.45	1478686957	30-Dec-25
0	0.5	1478686958	30-Dec-25
410.84	0.41	1478686959	30-Dec-25
0	2	1478686960	30-Dec-25
0.5	0	1478686961	30-Dec-25
0	300	1478686962	30-Dec-25
1	0	1478686963	30-Dec-25
90	0	1478686964	30-Dec-25
8.9	0.45	1478686966	30-Dec-25
3	0	1478686968	30-Dec-25
0.57	0.025	1478686969	30-Dec-25
2.02	0.05	1478686971	30-Dec-25
2.25	0	1478686973	30-Dec-25
0.02	18.125	1478686974	30-Dec-25
1	0	1478686975	30-Dec-25
1.7	0	1478686977	30-Dec-25
10.12	0.05	1478686980	30-Dec-25
2.5	0	1478686982	30-Dec-25
0	2	1478686983	30-Dec-25
0	1	1478686984	30-Dec-25
0	0.7	1478686985	30-Dec-25
5.12	0.05	1478686986	30-Dec-25
1.37	0.05	1478686987	30-Dec-25
13	0	1478686988	30-Dec-25
0	34	1478686989	30-Dec-25
2	0	1478686991	30-Dec-25
2.12	0.05	1478686992	30-Dec-25
0.02	15.125	1478686993	30-Dec-25
1.2	0	1478686994	30-Dec-25
0	0.5	1478686995	30-Dec-25
12	0	1478686999	30-Dec-25
0	1	1478687000	30-Dec-25
1	0	1478687001	30-Dec-25
0	0.5	1478687002	30-Dec-25
2	0	1478687006	30-Dec-25
0.5	0	1478687007	30-Dec-25
0.75	0	1478687009	30-Dec-25
0	20	1478687010	30-Dec-25
0	13	1478687015	30-Dec-25
0	252.25	1478687016	30-Dec-25
0	100.9	1478687018	30-Dec-25
0	0.5	1478687022	30-Dec-25
0	10	1478687024	30-Dec-25
10.12	0.05	1478687026	30-Dec-25
0.02	5.05	1478687028	30-Dec-25
0	0.5	1478687031	30-Dec-25
2	0	1478687032	30-Dec-25
161.8	0	1478687033	30-Dec-25
5	0	1478687036	30-Dec-25
0	0.3	1478687038	30-Dec-25
0.5	0	1478687039	30-Dec-25
100.27	0.125	1478687040	30-Dec-25
0.25	0	1478687041	30-Dec-25
3	0	1478687044	30-Dec-25
1.02	0.025	1478687045	30-Dec-25
13	0	1478687047	30-Dec-25
0	0.25	1478687049	30-Dec-25
1.25	0	1478687050	30-Dec-25
1	0	1478687051	30-Dec-25
0	2.5	1478687052	30-Dec-25
0	1	1478687057	30-Dec-25
1	0	1478687058	30-Dec-25
300	0	1478687059	30-Dec-25
3.15	0	1478687061	30-Dec-25
0	0.5	1478687062	30-Dec-25
1.02	0.025	1478687067	30-Dec-25
6	0	1478687068	30-Dec-25
200	0	1478687070	30-Dec-25
50	0	1478687071	30-Dec-25
1	0	1478687073	30-Dec-25
0.02	14.125	1478687075	30-Dec-25
0.25	0	1478687078	30-Dec-25
300	0	1478687079	30-Dec-25
8	0	1478687081	30-Dec-25
3.02	0.05	1478687084	30-Dec-25
0.75	0.025	1478687085	30-Dec-25
2.12	0.05	1478687086	30-Dec-25
0	19.78	1478687087	30-Dec-25
0.2	0	1478687088	30-Dec-25
0	5	1478687091	30-Dec-25
0.5	0	1478687092	30-Dec-25
0	0.6	1478687093	30-Dec-25
0	38	1478687095	30-Dec-25
0.5	0	1478687097	30-Dec-25
0	50	1478687099	30-Dec-25
0.02	12.125	1478687100	30-Dec-25
0	1	1478687101	30-Dec-25
0	0.6	1478687102	30-Dec-25
10.02	0.05	1478687105	30-Dec-25
0.02	15.125	1478687106	30-Dec-25
150.32	0.15	1478687110	30-Dec-25
0	0.2	1478687111	30-Dec-25
0	14.5	1478687113	30-Dec-25
0	4.59	1478687115	30-Dec-25
0	1	1478687116	30-Dec-25
0	200	1478687118	30-Dec-25
0	1	1478687119	30-Dec-25
0.5	0	1478687125	30-Dec-25
5.12	0.05	1478687128	30-Dec-25
0	2	1478687130	30-Dec-25
20.145	0.0625	1478687132	30-Dec-25
0	1	1478687133	30-Dec-25
0	10	1478687134	30-Dec-25
2	0	1478687135	30-Dec-25
2	0	1478687136	30-Dec-25
0	10	1478687139	30-Dec-25
20	0	1478687142	30-Dec-25
0	2	1478687143	30-Dec-25
0	0.25	1478687146	30-Dec-25
0.6	0	1478687148	30-Dec-25
0	5	1478687149	30-Dec-25
100.27	0.125	1478687151	30-Dec-25
100.27	0.125	1478687152	30-Dec-25
0	0.5	1478687158	30-Dec-25
0.62	0.025	1478687164	30-Dec-25
0	0.6	1478687165	30-Dec-25
0	70	1478687166	30-Dec-25
0	1.5	1478687167	30-Dec-25
0	0.7	1478687168	30-Dec-25
0.02	2.005	1478687169	30-Dec-25
0	4	1478687170	30-Dec-25
1.2	0	1478687172	30-Dec-25
0	0.25	1478687178	30-Dec-25
10.645	0.0625	1478687182	30-Dec-25
0	0.5	1478687184	30-Dec-25
10.12	0.05	1478687186	30-Dec-25
0.5	0	1478687187	30-Dec-25
3.12	0.05	1478687188	30-Dec-25
0	0.24	1478687189	30-Dec-25
0	1	1478687190	30-Dec-25
5.2	0	1478687191	30-Dec-25
15	0	1478687193	30-Dec-25
0	0.5	1478687197	30-Dec-25
0	33	1478687200	30-Dec-25
0	0.3	1478687201	30-Dec-25
0	0.5	1478687204	30-Dec-25
3.12	0.05	1478687206	30-Dec-25
2.3	0	1478687207	30-Dec-25
0	40.4	1478687208	30-Dec-25
0	0.12	1478687211	30-Dec-25
0	1.1	1478687215	30-Dec-25
0	2	1478687216	30-Dec-25
0	1.5	1478687218	30-Dec-25
0	0.4	1478687219	30-Dec-25
0	3	1478687220	30-Dec-25
0	2	1478687221	30-Dec-25
0	20	1478687222	30-Dec-25
0.02	4.1	1478687224	30-Dec-25
5.02	0.05	1478687225	30-Dec-25
0	0.3	1478687229	30-Dec-25
20.145	0.0625	1478687230	30-Dec-25
11.145	0.0625	1478687232	30-Dec-25
0.97	0.025	1478687234	30-Dec-25
0	0.5	1478687235	30-Dec-25
0	15	1478687236	30-Dec-25
0	6	1478687237	30-Dec-25
0	500	1478687239	30-Dec-25
1	0	1478687241	30-Dec-25
2.9	0	1478687243	30-Dec-25
50	0	1478687247	30-Dec-25
2	0	1478687251	30-Dec-25
0.02	0.8	1478687252	30-Dec-25
0.5	0	1478687255	30-Dec-25
8.7	0	1478687258	30-Dec-25
0	25	1478687259	30-Dec-25
0	100.72	1478687262	30-Dec-25
0	202	1478687268	30-Dec-25
0	0.9	1478687272	30-Dec-25
0	19.8	1478687274	30-Dec-25
0	12.4	1478687275	30-Dec-25
0	1007.2	1478687276	30-Dec-25
1.9693	0.0096	1478687277	30-Dec-25
1.07	0.025	1478687278	30-Dec-25
1.5	0	1478687279	30-Dec-25
0	1.5	1478687280	30-Dec-25
99.27	0.125	1478687282	30-Dec-25
0	4	1478687285	30-Dec-25
4	0	1478687288	30-Dec-25
0	30.3	1478687292	30-Dec-25
0	151.5	1478687296	30-Dec-25
0	1007.2	1478687298	30-Dec-25
0	3	1478687299	30-Dec-25
1.01	0.025	1478687301	30-Dec-25
5.12	0.05	1478687305	30-Dec-25
0	4	1478687306	30-Dec-25
0	245.43	1478687307	30-Dec-25
0.2	0	1478687308	30-Dec-25
0	0.25	1478687309	30-Dec-25
0	1	1478687310	30-Dec-25
2	0	1478687317	30-Dec-25
0	2	1478687318	30-Dec-25
0	101	1478687319	30-Dec-25
1.6	0	1478687326	30-Dec-25
10.02	0.05	1478687328	30-Dec-25
0	1	1478687329	30-Dec-25
0.5	0	1478687333	30-Dec-25
0	0.8	1478687336	30-Dec-25
0.25	0	1478687340	30-Dec-25
1	0	1478687341	30-Dec-25
0.02	5.05	1478687345	30-Dec-25
0	1	1478687346	30-Dec-25
0	100	1478687347	30-Dec-25
1.07	0.025	1478687348	30-Dec-25
0	1010	1478687349	30-Dec-25
0.5	0	1478687352	30-Dec-25
0	0.8	1478687354	30-Dec-25
0.02	20.125	1478687357	30-Dec-25
0	3	1478687358	30-Dec-25
0	302.7	1478687359	30-Dec-25
5.02	0.05	1478687363	30-Dec-25
0	150	1478687365	30-Dec-25
0	0.5	1478687366	30-Dec-25
2	0	1478687372	30-Dec-25
0.02	11.125	1478687375	30-Dec-25
0	0.3	1478687382	30-Dec-25
0	2	1478687383	30-Dec-25
1.62	0.05	1478687384	30-Dec-25
50	0	1478687385	30-Dec-25
0	5	1478687386	30-Dec-25
0	20.2	1478687389	30-Dec-25
0.5	0	1478687391	30-Dec-25
0	0.5	1478687393	30-Dec-25
1.07	0.025	1478687394	30-Dec-25
1	0	1478687396	30-Dec-25
0.02	100.25	1478687397	30-Dec-25
0	505.4	1478687398	30-Dec-25
1.92	0.05	1478687399	30-Dec-25
0	3	1478687403	30-Dec-25
0	2	1478687405	30-Dec-25
0	100	1478687406	30-Dec-25
2.12	0.05	1478687409	30-Dec-25
0	1	1478687410	30-Dec-25
0	2.5	1478687412	30-Dec-25
13	0	1478687413	30-Dec-25
0	10	1478687415	30-Dec-25
0	50	1478687416	30-Dec-25
0	0.6	1478687420	30-Dec-25
1.25	0	1478687423	30-Dec-25
0	50	1478687426	30-Dec-25
1	0	1478687429	30-Dec-25
0	1010	1478687432	30-Dec-25
0	2.5	1478687434	30-Dec-25
0	7	1478687435	30-Dec-25
0	5	1478687439	30-Dec-25
0	11.81	1478687442	30-Dec-25
0	0.6	1478687444	30-Dec-25
20	0	1478687446	30-Dec-25
1.07	0.025	1478687447	30-Dec-25
0	3	1478687448	30-Dec-25
0	36	1478687449	30-Dec-25
2.2	0	1478687450	30-Dec-25
0.1	0	1478687451	30-Dec-25
0	220.792	1478687452	30-Dec-25
0	2.2	1478687457	30-Dec-25
1.07	0.025	1478687458	30-Dec-25
0	102	1478687463	30-Dec-25
0	3	1478687467	30-Dec-25
8	0	1478687468	30-Dec-25
10.12	0.05	1478687469	30-Dec-25
0.47	0.025	1478687475	30-Dec-25
9	0	1478687476	30-Dec-25
0.4	0	1478687479	30-Dec-25
12.445	0.0625	1478687480	30-Dec-25
16	0	1478687482	30-Dec-25
0	0.25	1478687483	30-Dec-25
1	0	1478687484	30-Dec-25
0	0.2	1478687485	30-Dec-25
0	10	1478687486	30-Dec-25
1.07	0.025	1478687487	30-Dec-25
0	13.2	1478687488	30-Dec-25
0.85	0	1478687489	30-Dec-25
0.7	0	1478687490	30-Dec-25
100.02	0.125	1478687494	30-Dec-25
0	0.6	1478687495	30-Dec-25
45.22	0.1	1478687497	30-Dec-25
1.42	0.05	1478687500	30-Dec-25
0	3.2	1478687501	30-Dec-25
2.12	0.05	1478687502	30-Dec-25
