BALANCE	REFNO	DATECREATED
50.38	1526654188	23-Jun-26
220.83	1526659777	23-Jun-26
60	1526662885	23-Jun-26
50.25	1526665232	23-Jun-26
50.19	1526665731	23-Jun-26
501.88	1526666357	23-Jun-26
507.5	1526673528	23-Jun-26
50.19	1526678868	23-Jun-26
903.38	1526686571	23-Jun-26
100.5	1526704908	23-Jun-26
-290.54	1526707601	23-Jun-26
-302.7	1526711083	23-Jun-26
301.5	1526723606	23-Jun-26
569.13	1526724911	23-Jun-26
50	1526728196	23-Jun-26
201.5	1526737137	23-Jun-26
351.32	1526740321	23-Jun-26
100.38	1526750791	23-Jun-26
242.4	1526755254	23-Jun-26
50.38	1526764499	23-Jun-26
401.5	1526770738	23-Jun-26
1501.88	1526772822	23-Jun-26
100.5	1526772874	23-Jun-26
101.5	1526773381	23-Jun-26
50	1526773940	23-Jun-26
126.88	1526780967	23-Jun-26
157.33	1526803419	23-Jun-26
15.23	1526810004	23-Jun-26
251.25	1526817502	23-Jun-26
50.5	1526822447	23-Jun-26
78.39	1526831142	23-Jun-26
100.38	1526837251	23-Jun-26
100.38	1526841680	23-Jun-26
100.75	1526843366	23-Jun-26
125.94	1526843757	23-Jun-26
511.92	1526848796	23-Jun-26
1206	1526854555	23-Jun-26
302.25	1526855820	23-Jun-26
401.5	1526857167	23-Jun-26
804	1526863635	23-Jun-26
50.25	1526865453	23-Jun-26
201	1526866844	23-Jun-26
193.44	1526867358	23-Jun-26
101.88	1526871525	23-Jun-26
1502.63	1526873407	23-Jun-26
-500.9	1526878371	23-Jun-26
301.5	1526879017	23-Jun-26
31077.5	1526879271	23-Jun-26
801.5	1526881492	23-Jun-26
402	1526882534	23-Jun-26
258.97	1526882718	23-Jun-26
140.7	1526885604	23-Jun-26
1005	1526885748	23-Jun-26
200.75	1526886048	23-Jun-26
334.25	1526886732	23-Jun-26
1303.25	1526886737	23-Jun-26
2512.5	1526887127	23-Jun-26
50.94	1526889259	23-Jun-26
2703.38	1526891124	23-Jun-26
50.38	1526896732	23-Jun-26
75.14	1526898482	23-Jun-26
173.29	1526899042	23-Jun-26
301.13	1526901818	23-Jun-26
101.88	1526903135	23-Jun-26
2506.25	1526903890	23-Jun-26
9974.88	1526904762	23-Jun-26
250.94	1526906209	23-Jun-26
683.4	1526906948	23-Jun-26
1003.75	1526907298	23-Jun-26
60.23	1526908857	23-Jun-26
804	1526908880	23-Jun-26
301.5	1526911153	23-Jun-26
532.88	1526913048	23-Jun-26
50.25	1526913126	23-Jun-26
803	1526916342	23-Jun-26
50.75	1526917454	23-Jun-26
304.5	1526923408	23-Jun-26
352.63	1526923533	23-Jun-26
-501.8	1526925948	23-Jun-26
60.3	1526925975	23-Jun-26
603	1526927504	23-Jun-26
100.75	1526927704	23-Jun-26
130.49	1526928371	23-Jun-26
1102.07	1526930170	23-Jun-26
5.02	1526930522	23-Jun-26
500.94	1526931680	23-Jun-26
1001.88	1526934079	23-Jun-26
400.75	1526934354	23-Jun-26
50.19	1526936677	23-Jun-26
201.5	1526940209	23-Jun-26
125.24	1526940219	23-Jun-26
451.69	1526941577	23-Jun-26
2003.5	1526941994	23-Jun-26
5991.21	1526942453	23-Jun-26
554.13	1526943366	23-Jun-26
988.7	1526944695	23-Jun-26
100.38	1526946452	23-Jun-26
20.04	1526950618	23-Jun-26
98.74	1526951228	23-Jun-26
99.75	1526951640	23-Jun-26
132.05	1526954113	23-Jun-26
391.47	1526955052	23-Jun-26
18.27	1526955184	23-Jun-26
507.5	1526955706	23-Jun-26
100.75	1526956463	23-Jun-26
331.24	1526957126	23-Jun-26
14.06	1526959461	23-Jun-26
4.45	1526959516	23-Jun-26
50.75	1526959589	23-Jun-26
100.38	1526960059	23-Jun-26
333.66	1526961309	23-Jun-26
155.58	1526961470	23-Jun-26
100.38	1526962829	23-Jun-26
15.02	1526962831	23-Jun-26
-50.79	1526965906	23-Jun-26
36.04	1526968776	23-Jun-26
60.23	1526970922	23-Jun-26
201	1526973951	23-Jun-26
207.03	1526974156	23-Jun-26
853.19	1526975897	23-Jun-26
301.5	1526980038	23-Jun-26
5.07	1526980554	23-Jun-26
40.3	1526980870	23-Jun-26
27.1	1526981795	23-Jun-26
50.25	1526982337	23-Jun-26
4.02	1526984189	23-Jun-26
28.03	1526984323	23-Jun-26
25	1526986234	23-Jun-26
1003.75	1526987720	23-Jun-26
301.13	1526990027	23-Jun-26
101.25	1526990361	23-Jun-26
50.75	1526990433	23-Jun-26
50.94	1526991310	23-Jun-26
40.02	1526996481	23-Jun-26
375.55	1526996979	23-Jun-26
100.5	1526997553	23-Jun-26
17.13	1526998257	23-Jun-26
25.19	1526999608	23-Jun-26
100.38	1526999755	23-Jun-26
20.04	1526999915	23-Jun-26
252.5	1527000579	23-Jun-26
150.57	1527001744	23-Jun-26
101.25	1527003320	23-Jun-26
1371.72	1527004832	23-Jun-26
35.53	1527005114	23-Jun-26
101.5	1527005585	23-Jun-26
300.57	1527007335	23-Jun-26
100.5	1527008137	23-Jun-26
25.19	1527008773	23-Jun-26
60.3	1527008855	23-Jun-26
100.75	1527009236	23-Jun-26
20.15	1527011220	23-Jun-26
301.5	1527011325	23-Jun-26
20.38	1527011411	23-Jun-26
100.75	1527012599	23-Jun-26
301.13	1527013156	23-Jun-26
202	1527015751	23-Jun-26
10.02	1527016231	23-Jun-26
1206	1527018697	23-Jun-26
150.75	1527018900	23-Jun-26
101.25	1527020641	23-Jun-26
50.25	1527021726	23-Jun-26
-70.63	1527021888	23-Jun-26
-30.08	1527021890	23-Jun-26
-100.54	1527021893	23-Jun-26
-100.9	1527021899	23-Jun-26
-100.72	1527021900	23-Jun-26
-504.5	1527021903	23-Jun-26
-15	1527021913	23-Jun-26
-100.9	1527021918	23-Jun-26
-100.9	1527021919	23-Jun-26
-20.07	1527021944	23-Jun-26
-451.62	1527021960	23-Jun-26
-505.4	1527021970	23-Jun-26
-201.44	1527021979	23-Jun-26
-10	1527021993	23-Jun-26
-100.36	1527021994	23-Jun-26
-100.9	1527022000	23-Jun-26
-302.16	1527022001	23-Jun-26
-100.36	1527022024	23-Jun-26
-170.92	1527022045	23-Jun-26
-151.62	1527022050	23-Jun-26
-70.63	1527022059	23-Jun-26
-20	1527022089	23-Jun-26
-25.7	1527022127	23-Jun-26
-25.09	1527022129	23-Jun-26
-151.62	1527022133	23-Jun-26
47.45	1527022137	23-Jun-26
-100.9	1527022151	23-Jun-26
-400	1527022187	23-Jun-26
-100	1527022188	23-Jun-26
-504.5	1527022200	23-Jun-26
1.98	1527022201	23-Jun-26
-20.04	1527022210	23-Jun-26
-100.72	1527022220	23-Jun-26
-10.07	1527022221	23-Jun-26
-50.36	1527022234	23-Jun-26
-50.36	1527022244	23-Jun-26
-20.14	1527022246	23-Jun-26
-100.44	1527022247	23-Jun-26
-302.16	1527022257	23-Jun-26
-1007.2	1527022283	23-Jun-26
-80.58	1527022288	23-Jun-26
-25	1527022316	23-Jun-26
-25.49	1527022318	23-Jun-26
-501.35	1527022336	23-Jun-26
49.45	1527022352	23-Jun-26
-5.01	1527022359	23-Jun-26
-50.36	1527022368	23-Jun-26
-100.9	1527022386	23-Jun-26
-170	1527022390	23-Jun-26
-95	1527022417	23-Jun-26
-20.05	1527022420	23-Jun-26
-27.06	1527022422	23-Jun-26
-50.45	1527022447	23-Jun-26
-141.51	1527022457	23-Jun-26
-301.08	1527022463	23-Jun-26
-101.08	1527022492	23-Jun-26
-20.14	1527022510	23-Jun-26
201	1527022511	23-Jun-26
-52.39	1527022515	23-Jun-26
-20.07	1527022521	23-Jun-26
-202.16	1527022524	23-Jun-26
-302.7	1527022525	23-Jun-26
25.45	1527022527	23-Jun-26
-50.45	1527022529	23-Jun-26
-50.36	1527022537	23-Jun-26
-25.18	1527022542	23-Jun-26
-100.63	1527022544	23-Jun-26
-20.07	1527022550	23-Jun-26
-302.16	1527022580	23-Jun-26
-20.07	1527022608	23-Jun-26
-50.36	1527022610	23-Jun-26
-402.88	1527022612	23-Jun-26
-20.04	1527022614	23-Jun-26
-10.07	1527022615	23-Jun-26
-10.76	1527022637	23-Jun-26
-30	1527022638	23-Jun-26
-50	1527022641	23-Jun-26
-100.65	1527022660	23-Jun-26
-351.26	1527022671	23-Jun-26
6.75	1527022672	23-Jun-26
-100.9	1527022675	23-Jun-26
-10.02	1527022679	23-Jun-26
-151.08	1527022684	23-Jun-26
-100.9	1527022698	23-Jun-26
-151.35	1527022701	23-Jun-26
-100.9	1527022706	23-Jun-26
-50.45	1527022710	23-Jun-26
-50.45	1527022711	23-Jun-26
-70.63	1527022713	23-Jun-26
-302.7	1527022716	23-Jun-26
-170.46	1527022741	23-Jun-26
-10.07	1527022744	23-Jun-26
-36	1527022747	23-Jun-26
-100	1527022748	23-Jun-26
-100.72	1527022765	23-Jun-26
-5.04	1527022777	23-Jun-26
-100.72	1527022786	23-Jun-26
-201.44	1527022790	23-Jun-26
3.45	1527022801	23-Jun-26
-201.44	1527022814	23-Jun-26
-293.63	1527022815	23-Jun-26
-25.07	1527022817	23-Jun-26
-10.07	1527022823	23-Jun-26
-50.11	1527022826	23-Jun-26
-6	1527022832	23-Jun-26
-60.43	1527022834	23-Jun-26
-11.03	1527022838	23-Jun-26
-40.43	1527022851	23-Jun-26
-100.72	1527022853	23-Jun-26
-534	1527022855	23-Jun-26
-150.54	1527022862	23-Jun-26
-101.08	1527022870	23-Jun-26
-100.9	1527022873	23-Jun-26
-377.7	1527022874	23-Jun-26
-100	1527022882	23-Jun-26
-166.19	1527022883	23-Jun-26
-100.72	1527022899	23-Jun-26
-15	1527022901	23-Jun-26
-20.04	1527022902	23-Jun-26
-100.9	1527022907	23-Jun-26
-34.21	1527022908	23-Jun-26
-20.14	1527022909	23-Jun-26
-100	1527022917	23-Jun-26
-100.72	1527022921	23-Jun-26
-100.36	1527022932	23-Jun-26
-494.97	1527022938	23-Jun-26
-500	1527022944	23-Jun-26
-10.76	1527022947	23-Jun-26
-30.08	1527022969	23-Jun-26
-155.56	1527022974	23-Jun-26
-10.02	1527022990	23-Jun-26
-10.05	1527022991	23-Jun-26
-202.16	1527023002	23-Jun-26
-20.88	1527023010	23-Jun-26
-100.72	1527023023	23-Jun-26
-100	1527023027	23-Jun-26
-33.12	1527023031	23-Jun-26
-302.7	1527023036	23-Jun-26
-151.08	1527023037	23-Jun-26
-100.72	1527023046	23-Jun-26
-201.8	1527023050	23-Jun-26
-504.5	1527023053	23-Jun-26
-20	1527023056	23-Jun-26
-161.44	1527023061	23-Jun-26
-14.02	1527023076	23-Jun-26
-151.35	1527023089	23-Jun-26
-403.6	1527023090	23-Jun-26
-100.36	1527023111	23-Jun-26
-30.16	1527023116	23-Jun-26
-7.01	1527023117	23-Jun-26
-40	1527023119	23-Jun-26
-100.36	1527023137	23-Jun-26
-100.9	1527023138	23-Jun-26
-807.2	1527023159	23-Jun-26
-100	1527023164	23-Jun-26
-121.08	1527023166	23-Jun-26
4.95	1527023177	23-Jun-26
-494.97	1527023188	23-Jun-26
-1005.4	1527023209	23-Jun-26
-706.3	1527023216	23-Jun-26
-503.6	1527023218	23-Jun-26
-503.6	1527023225	23-Jun-26
-100.72	1527023228	23-Jun-26
-1005.4	1527023229	23-Jun-26
-50	1527023233	23-Jun-26
-202.16	1527023236	23-Jun-26
-49.95	1527023241	23-Jun-26
-15.16	1527023256	23-Jun-26
50.45	1527023257	23-Jun-26
3.45	1527023262	23-Jun-26
-40.29	1527023265	23-Jun-26
-100.36	1527023276	23-Jun-26
-152.58	1527023306	23-Jun-26
-15.11	1527023307	23-Jun-26
-50.36	1527023309	23-Jun-26
-267.92	1527023310	23-Jun-26
-505.4	1527023328	23-Jun-26
-131.4	1527023335	23-Jun-26
-32.35	1527023336	23-Jun-26
-50.36	1527023345	23-Jun-26
-201.44	1527023346	23-Jun-26
-503.6	1527023356	23-Jun-26
-403.6	1527023383	23-Jun-26
-19.15	1527023387	23-Jun-26
-352.52	1527023388	23-Jun-26
-50.36	1527023394	23-Jun-26
-50.45	1527023403	23-Jun-26
-50.45	1527023404	23-Jun-26
-50.18	1527023444	23-Jun-26
-100.72	1527023486	23-Jun-26
-6.32	1527023489	23-Jun-26
-8.6	1527023522	23-Jun-26
-215.12	1527023524	23-Jun-26
-5.01	1527023550	23-Jun-26
-500	1527023556	23-Jun-26
-201.08	1527023564	23-Jun-26
-503.6	1527023575	23-Jun-26
-19.12	1527023588	23-Jun-26
100.5	1527023607	23-Jun-26
-15.16	1527023613	23-Jun-26
-151.62	1527023621	23-Jun-26
-20.22	1527023634	23-Jun-26
-40	1527023641	23-Jun-26
-50.36	1527023658	23-Jun-26
-50.54	1527023666	23-Jun-26
-50.54	1527023667	23-Jun-26
-50.45	1527023671	23-Jun-26
-50.45	1527023672	23-Jun-26
-100.9	1527023673	23-Jun-26
-201.8	1527023674	23-Jun-26
-50.54	1527023678	23-Jun-26
-25.18	1527023680	23-Jun-26
-100.72	1527023681	23-Jun-26
-202.16	1527023685	23-Jun-26
-50.45	1527023696	23-Jun-26
-10.04	1527023698	23-Jun-26
-101.08	1527023700	23-Jun-26
-100.9	1527023701	23-Jun-26
-50.54	1527023702	23-Jun-26
-65.82	1527023703	23-Jun-26
-101.08	1527023704	23-Jun-26
-40.43	1527023707	23-Jun-26
-100	1527023711	23-Jun-26
-5	1527023713	23-Jun-26
-15.11	1527023722	23-Jun-26
-50.36	1527023736	23-Jun-26
-151.08	1527023738	23-Jun-26
-150.32	1527023739	23-Jun-26
-30.06	1527023748	23-Jun-26
-97.25	1527023755	23-Jun-26
-50.45	1527023768	23-Jun-26
-251.8	1527023779	23-Jun-26
-50.36	1527023782	23-Jun-26
-50.54	1527023807	23-Jun-26
-30.22	1527023822	23-Jun-26
-115.2	1527023837	23-Jun-26
-175.17	1527023849	23-Jun-26
-50.27	1527023851	23-Jun-26
-302.7	1527023862	23-Jun-26
-101.08	1527023872	23-Jun-26
-100.72	1527023887	23-Jun-26
-5	1527023905	23-Jun-26
-30	1527023909	23-Jun-26
-201.44	1527023942	23-Jun-26
-100.72	1527023950	23-Jun-26
-100.72	1527023955	23-Jun-26
-20.14	1527023963	23-Jun-26
-5.04	1527023966	23-Jun-26
-60.22	1527023972	23-Jun-26
-50.36	1527023982	23-Jun-26
-100.72	1527023988	23-Jun-26
-63.73	1527023990	23-Jun-26
-8.06	1527023991	23-Jun-26
-50.36	1527023994	23-Jun-26
-100.72	1527023996	23-Jun-26
-100.72	1527023998	23-Jun-26
-5.04	1527024012	23-Jun-26
-50.36	1527024020	23-Jun-26
-100.9	1527024038	23-Jun-26
-20.18	1527024039	23-Jun-26
-30.27	1527024046	23-Jun-26
-162.74	1527024048	23-Jun-26
-151.35	1527024055	23-Jun-26
-100.9	1527024059	23-Jun-26
-50.45	1527024062	23-Jun-26
-201.8	1527024065	23-Jun-26
-150.32	1527024070	23-Jun-26
-151.35	1527024092	23-Jun-26
-50.18	1527024098	23-Jun-26
-151.62	1527024100	23-Jun-26
-20.44	1527024104	23-Jun-26
-200	1527024105	23-Jun-26
-50.18	1527024111	23-Jun-26
-50.45	1527024116	23-Jun-26
-20.14	1527024118	23-Jun-26
-501.8	1527024130	23-Jun-26
-19.12	1527024144	23-Jun-26
-115.41	1527024151	23-Jun-26
-303.24	1527024153	23-Jun-26
-50.45	1527024175	23-Jun-26
-302.7	1527024191	23-Jun-26
-500	1527024197	23-Jun-26
-20	1527024198	23-Jun-26
-65.7	1527024202	23-Jun-26
-20.22	1527024214	23-Jun-26
-100.72	1527024221	23-Jun-26
-124.91	1527024227	23-Jun-26
-100.9	1527024257	23-Jun-26
-202.16	1527024289	23-Jun-26
-50.36	1527024292	23-Jun-26
-201.8	1527024306	23-Jun-26
-1005.4	1527024315	23-Jun-26
-50.36	1527024316	23-Jun-26
-1005.4	1527024317	23-Jun-26
-100.9	1527024321	23-Jun-26
-100.9	1527024322	23-Jun-26
-201.8	1527024325	23-Jun-26
-50.45	1527024326	23-Jun-26
-20.52	1527024335	23-Jun-26
1005	1527024362	23-Jun-26
-100.72	1527024371	23-Jun-26
-15	1527024372	23-Jun-26
-107.56	1527024373	23-Jun-26
226.85	1527024378	23-Jun-26
-30	1527024384	23-Jun-26
-20.07	1527024391	23-Jun-26
-12.03	1527024393	23-Jun-26
-251.8	1527024405	23-Jun-26
-201.8	1527024411	23-Jun-26
-302.7	1527024412	23-Jun-26
-201.8	1527024413	23-Jun-26
-201.8	1527024415	23-Jun-26
-100.9	1527024424	23-Jun-26
-30.22	1527024445	23-Jun-26
-202.5	1527024453	23-Jun-26
-120.86	1527024466	23-Jun-26
-25.05	1527024488	23-Jun-26
-100	1527024491	23-Jun-26
-302.7	1527024493	23-Jun-26
-50.45	1527024496	23-Jun-26
-201.44	1527024548	23-Jun-26
-100.9	1527024551	23-Jun-26
-10.26	1527024558	23-Jun-26
-501.8	1527024565	23-Jun-26
-10.04	1527024576	23-Jun-26
-5.02	1527024579	23-Jun-26
-10.26	1527024586	23-Jun-26
-100.9	1527024588	23-Jun-26
-20	1527024591	23-Jun-26
-50.27	1527024610	23-Jun-26
-100.9	1527024611	23-Jun-26
65.25	1527024624	23-Jun-26
-50.45	1527024656	23-Jun-26
-402.88	1527024663	23-Jun-26
-50.54	1527024670	23-Jun-26
-50.54	1527024672	23-Jun-26
-127.46	1527024692	23-Jun-26
-150	1527024726	23-Jun-26
-20	1527024743	23-Jun-26
-30.22	1527024746	23-Jun-26
-503.6	1527024759	23-Jun-26
-268.93	1527024769	23-Jun-26
-10	1527024778	23-Jun-26
-5.04	1527024779	23-Jun-26
-30.22	1527024794	23-Jun-26
-60.43	1527024795	23-Jun-26
-101.08	1527024803	23-Jun-26
-201.44	1527024808	23-Jun-26
-30.16	1527024810	23-Jun-26
-45.41	1527024813	23-Jun-26
-100.9	1527024815	23-Jun-26
-100.72	1527024816	23-Jun-26
50.75	1527024819	23-Jun-26
-100.54	1527024826	23-Jun-26
-503.6	1527024829	23-Jun-26
-503.6	1527024830	23-Jun-26
-50.36	1527024831	23-Jun-26
-17.54	1527024846	23-Jun-26
-353.78	1527024892	23-Jun-26
-202.16	1527024901	23-Jun-26
-60.16	1527024937	23-Jun-26
-302.7	1527024940	23-Jun-26
-50.36	1527024957	23-Jun-26
-100.72	1527024976	23-Jun-26
-201.44	1527024986	23-Jun-26
-100.72	1527024989	23-Jun-26
-11.1	1527024999	23-Jun-26
-50	1527025003	23-Jun-26
-20.22	1527025008	23-Jun-26
-20.11	1527025009	23-Jun-26
-50.54	1527025018	23-Jun-26
-3.01	1527025019	23-Jun-26
-100.36	1527025025	23-Jun-26
-201.44	1527025030	23-Jun-26
-20.14	1527025031	23-Jun-26
-19.05	1527025038	23-Jun-26
-70.99	1527025039	23-Jun-26
-15.04	1527025041	23-Jun-26
-10.04	1527025045	23-Jun-26
10.45	1527025046	23-Jun-26
-20.14	1527025057	23-Jun-26
-10.04	1527025067	23-Jun-26
-1.01	1527025070	23-Jun-26
-330	1527025071	23-Jun-26
-272.92	1527025080	23-Jun-26
-20.22	1527025082	23-Jun-26
-50.54	1527025083	23-Jun-26
-1007.2	1527025097	23-Jun-26
-10.04	1527025104	23-Jun-26
-705.04	1527025105	23-Jun-26
-30.08	1527025109	23-Jun-26
-100.9	1527025110	23-Jun-26
-252.7	1527025121	23-Jun-26
-40.29	1527025122	23-Jun-26
-50.45	1527025123	23-Jun-26
-30.27	1527025126	23-Jun-26
-26	1527025141	23-Jun-26
-503.6	1527025162	23-Jun-26
20.45	1527025171	23-Jun-26
-50.14	1527025202	23-Jun-26
-30.27	1527025224	23-Jun-26
-50.36	1527025225	23-Jun-26
-100.72	1527025250	23-Jun-26
-402.59	1527025268	23-Jun-26
-404.32	1527025276	23-Jun-26
-201.8	1527025288	23-Jun-26
-302.7	1527025290	23-Jun-26
-100.9	1527025294	23-Jun-26
-200.72	1527025298	23-Jun-26
-50.18	1527025311	23-Jun-26
-100.72	1527025317	23-Jun-26
-12	1527025335	23-Jun-26
9.07	1527025346	23-Jun-26
-30.27	1527025353	23-Jun-26
-30.22	1527025360	23-Jun-26
-501.35	1527025375	23-Jun-26
-201.8	1527025383	23-Jun-26
9.45	1527025385	23-Jun-26
-100.9	1527025394	23-Jun-26
-501.35	1527025402	23-Jun-26
-29.7	1527025414	23-Jun-26
-100.72	1527025423	23-Jun-26
-302.16	1527025441	23-Jun-26
-503.6	1527025447	23-Jun-26
-300.81	1527025448	23-Jun-26
-201.8	1527025449	23-Jun-26
-100.69	1527025459	23-Jun-26
-100.72	1527025468	23-Jun-26
-100.72	1527025484	23-Jun-26
-300.81	1527025493	23-Jun-26
-1007.2	1527025497	23-Jun-26
-10	1527025501	23-Jun-26
-15.11	1527025512	23-Jun-26
9.45	1527025522	23-Jun-26
-50.98	1527025524	23-Jun-26
-503.6	1527025557	23-Jun-26
-252.25	1527025587	23-Jun-26
-201.44	1527025591	23-Jun-26
-60.22	1527025594	23-Jun-26
-50.45	1527025598	23-Jun-26
-503.6	1527025606	23-Jun-26
-503.6	1527025616	23-Jun-26
-100.72	1527025630	23-Jun-26
-100.9	1527025643	23-Jun-26
-100.9	1527025644	23-Jun-26
-20.05	1527025648	23-Jun-26
-100	1527025652	23-Jun-26
-504.5	1527025658	23-Jun-26
-100.36	1527025662	23-Jun-26
-100.9	1527025685	23-Jun-26
-124.91	1527025703	23-Jun-26
-315.25	1527025730	23-Jun-26
-10.04	1527025742	23-Jun-26
-201.8	1527025756	23-Jun-26
-20.14	1527025769	23-Jun-26
-20.14	1527025770	23-Jun-26
-50	1527025791	23-Jun-26
-65.47	1527025796	23-Jun-26
-200	1527025806	23-Jun-26
-20	1527025809	23-Jun-26
-454.05	1527025814	23-Jun-26
-10.09	1527025826	23-Jun-26
-252.25	1527025829	23-Jun-26
-60.61	1527025830	23-Jun-26
-161.44	1527025834	23-Jun-26
-126.18	1527025862	23-Jun-26
-15	1527025864	23-Jun-26
-503.6	1527025875	23-Jun-26
-52	1527025886	23-Jun-26
-100	1527025888	23-Jun-26
-15.14	1527025898	23-Jun-26
-100.9	1527025904	23-Jun-26
-80.29	1527025917	23-Jun-26
-15.11	1527025922	23-Jun-26
-20.07	1527025926	23-Jun-26
-50.36	1527025935	23-Jun-26
-100.36	1527025950	23-Jun-26
-100.72	1527025963	23-Jun-26
-50.36	1527025968	23-Jun-26
-10.07	1527025970	23-Jun-26
-38.51	1527025971	23-Jun-26
-8	1527025973	23-Jun-26
-30.31	1527025978	23-Jun-26
-503.6	1527025979	23-Jun-26
-50.36	1527025986	23-Jun-26
-100.9	1527025987	23-Jun-26
-100.9	1527025991	23-Jun-26
-353.15	1527025992	23-Jun-26
-100.36	1527025993	23-Jun-26
-100.72	1527026023	23-Jun-26
-100.36	1527026029	23-Jun-26
-553.96	1527026052	23-Jun-26
-20.18	1527026083	23-Jun-26
-302.7	1527026085	23-Jun-26
-50.36	1527026095	23-Jun-26
-10.02	1527026098	23-Jun-26
-25	1527026115	23-Jun-26
-50	1527026116	23-Jun-26
-121.04	1527026120	23-Jun-26
-1005.4	1527026136	23-Jun-26
-1005.4	1527026137	23-Jun-26
-10.07	1527026151	23-Jun-26
-302.7	1527026167	23-Jun-26
-11.08	1527026191	23-Jun-26
-50.36	1527026193	23-Jun-26
-30.11	1527026211	23-Jun-26
-100.54	1527026247	23-Jun-26
-5.1	1527026258	23-Jun-26
-50.36	1527026275	23-Jun-26
-503.6	1527026286	23-Jun-26
-50.36	1527026289	23-Jun-26
-50.36	1527026293	23-Jun-26
-50.45	1527026294	23-Jun-26
-130.94	1527026303	23-Jun-26
-101.25	1527026308	23-Jun-26
-50.45	1527026314	23-Jun-26
-202.16	1527026318	23-Jun-26
-100.9	1527026324	23-Jun-26
-100.9	1527026329	23-Jun-26
-50.82	1527026354	23-Jun-26
-20	1527026358	23-Jun-26
-10	1527026360	23-Jun-26
50.45	1527026365	23-Jun-26
-401.44	1527026368	23-Jun-26
-10.04	1527026370	23-Jun-26
-202.16	1527026377	23-Jun-26
-20.14	1527026414	23-Jun-26
-302.16	1527026418	23-Jun-26
-478.98	1527026422	23-Jun-26
-10.02	1527026427	23-Jun-26
-50.45	1527026451	23-Jun-26
-500	1527026468	23-Jun-26
-121.04	1527026497	23-Jun-26
-503.6	1527026523	23-Jun-26
-50.54	1527026529	23-Jun-26
10.45	1527026548	23-Jun-26
-32.5	1527026557	23-Jun-26
-40	1527026561	23-Jun-26
-50	1527026588	23-Jun-26
-55	1527026596	23-Jun-26
-20.18	1527026611	23-Jun-26
-352.52	1527026616	23-Jun-26
-302.16	1527026618	23-Jun-26
-30	1527026624	23-Jun-26
-100.9	1527026627	23-Jun-26
-100.72	1527026629	23-Jun-26
-100.36	1527026632	23-Jun-26
-10.04	1527026643	23-Jun-26
-200.72	1527026649	23-Jun-26
-100.9	1527026658	23-Jun-26
-50.45	1527026682	23-Jun-26
-10.76	1527026706	23-Jun-26
-100.72	1527026712	23-Jun-26
-241.73	1527026713	23-Jun-26
-10.04	1527026724	23-Jun-26
-100.36	1527026750	23-Jun-26
