DEBIT	CREDIT	TRANSFERID	CREATEDDATE
0	0.5	1527021974	23-Jun-26
5.12	0.05	1527021975	23-Jun-26
0.59	0	1527021976	23-Jun-26
0	2.5	1527021977	23-Jun-26
0	2	1527021978	23-Jun-26
0.6	0	1527021980	23-Jun-26
0.3	0	1527021983	23-Jun-26
0.12	0	1527021986	23-Jun-26
0	2	1527021987	23-Jun-26
1.02	0.025	1527021988	23-Jun-26
30	0	1527021990	23-Jun-26
0	11	1527021991	23-Jun-26
0	2	1527021992	23-Jun-26
0	10	1527021993	23-Jun-26
10	0	1527021995	23-Jun-26
0	0.2	1527021996	23-Jun-26
5.12	0.05	1527021997	23-Jun-26
99.1	0	1527021998	23-Jun-26
0	2	1527022002	23-Jun-26
0.02	30.15	1527022003	23-Jun-26
0	0.3	1527022004	23-Jun-26
0	1.7	1527022012	23-Jun-26
0	0.5	1527022014	23-Jun-26
0	3	1527022015	23-Jun-26
0.5	0	1527022019	23-Jun-26
0.02	1.005	1527022020	23-Jun-26
35	0	1527022023	23-Jun-26
0	5	1527022027	23-Jun-26
0.02	10.05	1527022028	23-Jun-26
1.07	0.025	1527022029	23-Jun-26
1.02	0.025	1527022031	23-Jun-26
2	0	1527022033	23-Jun-26
15.145	0.0625	1527022034	23-Jun-26
10	0	1527022035	23-Jun-26
260	0	1527022039	23-Jun-26
0.1	0	1527022040	23-Jun-26
1	0	1527022041	23-Jun-26
0.02	5.6	1527022042	23-Jun-26
7.5	0	1527022043	23-Jun-26
100.27	0.125	1527022044	23-Jun-26
0	170.918	1527022045	23-Jun-26
0.02	5.05	1527022046	23-Jun-26
0.02	10.05	1527022047	23-Jun-26
2.12	0.05	1527022048	23-Jun-26
9	0	1527022049	23-Jun-26
0	20	1527022051	23-Jun-26
3.12	0.05	1527022052	23-Jun-26
0.5	0	1527022053	23-Jun-26
1.5	0	1527022054	23-Jun-26
0	1.2	1527022056	23-Jun-26
0	5.19	1527022058	23-Jun-26
13.145	0.0625	1527022060	23-Jun-26
0	2	1527022061	23-Jun-26
3	0	1527022063	23-Jun-26
3	0	1527022065	23-Jun-26
0	500	1527022068	23-Jun-26
0	0.5	1527022069	23-Jun-26
2.5	0	1527022070	23-Jun-26
50	0	1527022071	23-Jun-26
0.02	9.09	1527022072	23-Jun-26
0	10	1527022073	23-Jun-26
0	0.3	1527022074	23-Jun-26
0	2	1527022076	23-Jun-26
0	15	1527022078	23-Jun-26
0	0.3	1527022082	23-Jun-26
50.02	0.1	1527022083	23-Jun-26
0	10	1527022084	23-Jun-26
1.2	0	1527022086	23-Jun-26
0	1	1527022088	23-Jun-26
0.02	5.1	1527022092	23-Jun-26
0	5	1527022093	23-Jun-26
0	8.65	1527022094	23-Jun-26
0	0.23	1527022095	23-Jun-26
0	8	1527022096	23-Jun-26
0.5	0	1527022097	23-Jun-26
0.5	0	1527022100	23-Jun-26
0.02	1.05	1527022101	23-Jun-26
0	19	1527022102	23-Jun-26
2.12	0.05	1527022103	23-Jun-26
1.02	0.025	1527022104	23-Jun-26
0	1.8	1527022107	23-Jun-26
1.2	0	1527022109	23-Jun-26
40	0	1527022110	23-Jun-26
15.145	0.0625	1527022113	23-Jun-26
0	1.25	1527022114	23-Jun-26
0.2	0	1527022116	23-Jun-26
3	0	1527022117	23-Jun-26
0.75	0	1527022119	23-Jun-26
0	3	1527022120	23-Jun-26
0.02	5.1	1527022122	23-Jun-26
28	0	1527022123	23-Jun-26
0	1	1527022125	23-Jun-26
9	0	1527022126	23-Jun-26
0.5	0	1527022128	23-Jun-26
2	0	1527022132	23-Jun-26
5	0	1527022134	23-Jun-26
0	290	1527022135	23-Jun-26
0	20	1527022136	23-Jun-26
0	28.1418	1527022138	23-Jun-26
18	0	1527022139	23-Jun-26
8.12	0.05	1527022140	23-Jun-26
11	0	1527022141	23-Jun-26
0	1	1527022142	23-Jun-26
0.3	0	1527022143	23-Jun-26
180	0	1527022144	23-Jun-26
0.5	0	1527022146	23-Jun-26
0	0.3	1527022147	23-Jun-26
0	17	1527022149	23-Jun-26
0.5	0	1527022153	23-Jun-26
0	8.1	1527022154	23-Jun-26
0.7	0	1527022157	23-Jun-26
2	0	1527022158	23-Jun-26
0	10	1527022160	23-Jun-26
29.67	0.075	1527022161	23-Jun-26
0	134	1527022163	23-Jun-26
0	4.5	1527022166	23-Jun-26
0	0.5	1527022169	23-Jun-26
1.5	0	1527022170	23-Jun-26
0	0.5	1527022171	23-Jun-26
0	30	1527022172	23-Jun-26
0	1.2	1527022173	23-Jun-26
0	0.4	1527022174	23-Jun-26
0	1.4	1527022175	23-Jun-26
0	0.5	1527022176	23-Jun-26
1	0	1527022177	23-Jun-26
0.5	0	1527022178	23-Jun-26
176.77	0.875	1527022180	23-Jun-26
0.5	0	1527022181	23-Jun-26
0	0.25	1527022184	23-Jun-26
0	2.6	1527022186	23-Jun-26
0	400	1527022187	23-Jun-26
0	0.3	1527022189	23-Jun-26
0	1.6	1527022192	23-Jun-26
0	4	1527022194	23-Jun-26
5	0	1527022196	23-Jun-26
0.5	0	1527022197	23-Jun-26
0	5	1527022199	23-Jun-26
0	0.2	1527022204	23-Jun-26
45	0	1527022206	23-Jun-26
1.07	0.025	1527022207	23-Jun-26
0.41	0.025	1527022208	23-Jun-26
0.3	0	1527022209	23-Jun-26
100.27	0.125	1527022212	23-Jun-26
5.52	0.05	1527022215	23-Jun-26
10	0	1527022219	23-Jun-26
0	10.072	1527022221	23-Jun-26
0.95	0	1527022222	23-Jun-26
0.12	0	1527022226	23-Jun-26
8	0	1527022227	23-Jun-26
0	4.9	1527022228	23-Jun-26
0	5	1527022231	23-Jun-26
0	1.6	1527022232	23-Jun-26
10.12	0.05	1527022233	23-Jun-26
0	2	1527022235	23-Jun-26
0	10	1527022236	23-Jun-26
0	110	1527022239	23-Jun-26
3.12	0.05	1527022240	23-Jun-26
30.17	0.075	1527022241	23-Jun-26
0	18	1527022243	23-Jun-26
0	50.36	1527022244	23-Jun-26
0	0.4	1527022248	23-Jun-26
0	0.2	1527022250	23-Jun-26
0	2.04	1527022251	23-Jun-26
0	2.4	1527022252	23-Jun-26
3.12	0.05	1527022253	23-Jun-26
0	2	1527022255	23-Jun-26
3	0	1527022258	23-Jun-26
2.5	0	1527022259	23-Jun-26
0	2.5	1527022260	23-Jun-26
0	0.5	1527022261	23-Jun-26
248	0	1527022265	23-Jun-26
0.02	50.25	1527022267	23-Jun-26
0	58.1	1527022269	23-Jun-26
0	2	1527022270	23-Jun-26
2.5	0	1527022271	23-Jun-26
0.02	3.89	1527022273	23-Jun-26
0	0.6	1527022275	23-Jun-26
0.02	42.105	1527022276	23-Jun-26
0	80	1527022278	23-Jun-26
0.02	5.1	1527022279	23-Jun-26
0	0.5	1527022282	23-Jun-26
0	1007.2	1527022283	23-Jun-26
3.9	0.05	1527022284	23-Jun-26
0	3	1527022286	23-Jun-26
0	80.576	1527022288	23-Jun-26
0	0.3	1527022289	23-Jun-26
0	50	1527022291	23-Jun-26
0.02	0.55	1527022294	23-Jun-26
50.22	0.1	1527022295	23-Jun-26
0	2	1527022297	23-Jun-26
0.4	0	1527022299	23-Jun-26
0	1.13	1527022300	23-Jun-26
0	10	1527022301	23-Jun-26
0.02	2.3	1527022305	23-Jun-26
3	0	1527022307	23-Jun-26
0.02	9.045	1527022308	23-Jun-26
0	0.3	1527022309	23-Jun-26
0.6	0	1527022310	23-Jun-26
0	1	1527022311	23-Jun-26
0	4	1527022313	23-Jun-26
0	8	1527022315	23-Jun-26
0	1.2	1527022317	23-Jun-26
0	25.4918	1527022318	23-Jun-26
0.12	0	1527022319	23-Jun-26
9.009	0.0445	1527022322	23-Jun-26
2.12	0.05	1527022325	23-Jun-26
55	0	1527022327	23-Jun-26
0.02	0.55	1527022329	23-Jun-26
0	0.7	1527022330	23-Jun-26
0	1	1527022331	23-Jun-26
0.5	0	1527022332	23-Jun-26
0.5	0	1527022334	23-Jun-26
0	2.3	1527022337	23-Jun-26
0.25	0	1527022342	23-Jun-26
1.5	0	1527022346	23-Jun-26
0	0.12	1527022347	23-Jun-26
0	0.5	1527022348	23-Jun-26
15	0	1527022350	23-Jun-26
5.5	0	1527022351	23-Jun-26
0.5	0	1527022353	23-Jun-26
0	10	1527022354	23-Jun-26
5	0	1527022355	23-Jun-26
3	0	1527022360	23-Jun-26
0	4	1527022361	23-Jun-26
1	0	1527022362	23-Jun-26
5	0	1527022363	23-Jun-26
200	0	1527022366	23-Jun-26
0.02	5.025	1527022370	23-Jun-26
6.5	0	1527022371	23-Jun-26
0.5	0	1527022372	23-Jun-26
0	1.6	1527022374	23-Jun-26
2.9	0	1527022375	23-Jun-26
3.12	0.05	1527022376	23-Jun-26
2.4	0	1527022378	23-Jun-26
0	1	1527022383	23-Jun-26
50	0	1527022384	23-Jun-26
1	0	1527022385	23-Jun-26
0	100.9	1527022386	23-Jun-26
3	0	1527022391	23-Jun-26
0.5	0	1527022393	23-Jun-26
1	0	1527022396	23-Jun-26
0	0.6	1527022397	23-Jun-26
5	0	1527022398	23-Jun-26
0	1	1527022402	23-Jun-26
0.02	7.035	1527022403	23-Jun-26
0.4	0	1527022405	23-Jun-26
10	0	1527022407	23-Jun-26
0	20.5	1527022408	23-Jun-26
67	0	1527022409	23-Jun-26
0	0.5	1527022410	23-Jun-26
0	0.5	1527022411	23-Jun-26
0	1.3	1527022413	23-Jun-26
0	50	1527022414	23-Jun-26
0	95	1527022417	23-Jun-26
3.12	0.05	1527022418	23-Jun-26
0	0.3	1527022419	23-Jun-26
1.07	0.025	1527022423	23-Jun-26
0	5.5	1527022424	23-Jun-26
0	1	1527022425	23-Jun-26
0.5	0	1527022430	23-Jun-26
0	0.8	1527022431	23-Jun-26
0.25	0	1527022434	23-Jun-26
0	5	1527022435	23-Jun-26
0.765	0	1527022438	23-Jun-26
0.02	50.2	1527022440	23-Jun-26
1.42	0.05	1527022441	23-Jun-26
0	13	1527022442	23-Jun-26
0	0.4	1527022443	23-Jun-26
0	5	1527022446	23-Jun-26
0	50.45	1527022447	23-Jun-26
0	9	1527022448	23-Jun-26
0	50.5	1527022449	23-Jun-26
0	0.13	1527022450	23-Jun-26
0	1	1527022453	23-Jun-26
5	0	1527022454	23-Jun-26
0	0.5	1527022458	23-Jun-26
1	0	1527022459	23-Jun-26
0	10	1527022462	23-Jun-26
0	1.1	1527022464	23-Jun-26
0	6	1527022465	23-Jun-26
0	0.9	1527022467	23-Jun-26
10	0	1527022468	23-Jun-26
10	0	1527022474	23-Jun-26
0	1.7	1527022475	23-Jun-26
0	4.9	1527022476	23-Jun-26
0.02	10.05	1527022477	23-Jun-26
0.02	10.05	1527022478	23-Jun-26
0.02	12.125	1527022482	23-Jun-26
1	0	1527022484	23-Jun-26
0.5	0	1527022487	23-Jun-26
0.02	5.1	1527022489	23-Jun-26
0.2	0	1527022493	23-Jun-26
0	10	1527022494	23-Jun-26
0	1	1527022496	23-Jun-26
300.62	0.3	1527022499	23-Jun-26
0	24	1527022501	23-Jun-26
0	10	1527022502	23-Jun-26
0	0.1	1527022504	23-Jun-26
1.2	0	1527022505	23-Jun-26
3	0	1527022508	23-Jun-26
0.7	0	1527022522	23-Jun-26
4	0	1527022523	23-Jun-26
50	0	1527022526	23-Jun-26
0.5	0	1527022528	23-Jun-26
0	0.32	1527022531	23-Jun-26
0.525	0.0025	1527022533	23-Jun-26
0.7	0	1527022534	23-Jun-26
0	0.5	1527022536	23-Jun-26
0	50.36	1527022537	23-Jun-26
0	1	1527022543	23-Jun-26
0	100.63	1527022544	23-Jun-26
5	0	1527022545	23-Jun-26
1.6	0	1527022547	23-Jun-26
0.5	0	1527022548	23-Jun-26
0	14	1527022549	23-Jun-26
0.02	49.7	1527022554	23-Jun-26
0	2	1527022555	23-Jun-26
0	2	1527022557	23-Jun-26
1.7	0	1527022559	23-Jun-26
5	0	1527022560	23-Jun-26
20.22	0.1	1527022561	23-Jun-26
20	0	1527022562	23-Jun-26
0	50	1527022564	23-Jun-26
2	0	1527022565	23-Jun-26
5	0	1527022566	23-Jun-26
0	0.3	1527022567	23-Jun-26
0	2.7	1527022569	23-Jun-26
0	3	1527022573	23-Jun-26
3.5	0	1527022576	23-Jun-26
440.9	0.44	1527022577	23-Jun-26
0.25	0	1527022578	23-Jun-26
0	0.5	1527022579	23-Jun-26
10.12	0.05	1527022581	23-Jun-26
0	0.5	1527022582	23-Jun-26
1	0	1527022584	23-Jun-26
0	3	1527022585	23-Jun-26
20.145	0.0625	1527022586	23-Jun-26
0.02	28.8435	1527022587	23-Jun-26
0	1.2	1527022588	23-Jun-26
0	6	1527022594	23-Jun-26
5	0	1527022596	23-Jun-26
0	6.0078	1527022598	23-Jun-26
38	0	1527022599	23-Jun-26
2	0	1527022600	23-Jun-26
4.5	0	1527022602	23-Jun-26
3.1	0	1527022606	23-Jun-26
0	0.9	1527022607	23-Jun-26
0	0.25	1527022616	23-Jun-26
0	8.5	1527022617	23-Jun-26
23.34	0	1527022618	23-Jun-26
2.8	0	1527022619	23-Jun-26
0	1.5	1527022620	23-Jun-26
2.5	0	1527022621	23-Jun-26
0	0.31	1527022624	23-Jun-26
50.22	0.1	1527022625	23-Jun-26
0	30	1527022628	23-Jun-26
20	0	1527022630	23-Jun-26
0	1.97	1527022631	23-Jun-26
0	3	1527022632	23-Jun-26
0.82	0.025	1527022633	23-Jun-26
0	0.25	1527022642	23-Jun-26
95	0	1527022643	23-Jun-26
0	0.2	1527022644	23-Jun-26
1.9	0	1527022646	23-Jun-26
0	7	1527022647	23-Jun-26
0	375	1527022648	23-Jun-26
0	30.3	1527022654	23-Jun-26
5	0	1527022655	23-Jun-26
0	1	1527022657	23-Jun-26
0	3.05	1527022661	23-Jun-26
0.25	0	1527022662	23-Jun-26
0	0.6	1527022663	23-Jun-26
0.02	30.15	1527022664	23-Jun-26
0.7	0	1527022665	23-Jun-26
7	0	1527022667	23-Jun-26
9	0	1527022669	23-Jun-26
0.4	0	1527022673	23-Jun-26
0	2	1527022674	23-Jun-26
0.2	0	1527022677	23-Jun-26
0	3	1527022680	23-Jun-26
0.5	0	1527022681	23-Jun-26
0	2.9	1527022685	23-Jun-26
3	0	1527022686	23-Jun-26
2	0	1527022688	23-Jun-26
0	20	1527022691	23-Jun-26
0	4	1527022692	23-Jun-26
30	0	1527022693	23-Jun-26
0	1000	1527022694	23-Jun-26
0	0.3	1527022695	23-Jun-26
35	0	1527022696	23-Jun-26
0	1	1527022699	23-Jun-26
0	65	1527022703	23-Jun-26
303.2552	0.3026	1527022707	23-Jun-26
0	1	1527022708	23-Jun-26
0.02	722.595	1527022709	23-Jun-26
0	2	1527022712	23-Jun-26
30	0	1527022715	23-Jun-26
8	0	1527022718	23-Jun-26
0.2	0	1527022721	23-Jun-26
20	0	1527022722	23-Jun-26
0	0.1	1527022723	23-Jun-26
0	3	1527022724	23-Jun-26
0	12.31	1527022726	23-Jun-26
0	1	1527022727	23-Jun-26
0.16	0	1527022731	23-Jun-26
4.9	0	1527022735	23-Jun-26
0	59	1527022736	23-Jun-26
0	1.7	1527022737	23-Jun-26
0	9.6	1527022738	23-Jun-26
6.12	0.05	1527022746	23-Jun-26
0	36	1527022747	23-Jun-26
0	100	1527022748	23-Jun-26
2	0	1527022749	23-Jun-26
0	3	1527022751	23-Jun-26
8	0	1527022752	23-Jun-26
0	1	1527022754	23-Jun-26
0.02	2.6	1527022755	23-Jun-26
1.28	0	1527022756	23-Jun-26
0.33	0	1527022757	23-Jun-26
0	2	1527022758	23-Jun-26
0.81	0	1527022759	23-Jun-26
0	1	1527022760	23-Jun-26
400.82	0.4	1527022762	23-Jun-26
280	0	1527022763	23-Jun-26
0.02	4.7	1527022764	23-Jun-26
0	5	1527022769	23-Jun-26
9	0	1527022770	23-Jun-26
8.12	0.05	1527022773	23-Jun-26
0	0.3	1527022780	23-Jun-26
50	0	1527022782	23-Jun-26
2.5	0	1527022783	23-Jun-26
30	0	1527022784	23-Jun-26
0	1.5	1527022785	23-Jun-26
0	100.72	1527022786	23-Jun-26
2.77	0	1527022791	23-Jun-26
9.11	0.045	1527022792	23-Jun-26
1.85	0	1527022793	23-Jun-26
0.02	20.125	1527022794	23-Jun-26
1	0	1527022796	23-Jun-26
1	0	1527022797	23-Jun-26
20	0	1527022798	23-Jun-26
0.5	0	1527022799	23-Jun-26
0.5	0	1527022804	23-Jun-26
0.5	0	1527022805	23-Jun-26
0	0.3	1527022806	23-Jun-26
0	42	1527022807	23-Jun-26
0	2	1527022808	23-Jun-26
1	0	1527022810	23-Jun-26
0.1	0	1527022811	23-Jun-26
0	2	1527022816	23-Jun-26
0	4.6	1527022818	23-Jun-26
1.5	0	1527022821	23-Jun-26
4	0	1527022824	23-Jun-26
0.1	0	1527022827	23-Jun-26
3	0	1527022828	23-Jun-26
6	0	1527022829	23-Jun-26
0	4	1527022830	23-Jun-26
0	15	1527022831	23-Jun-26
0	0.1	1527022835	23-Jun-26
1	0	1527022836	23-Jun-26
2	0	1527022839	23-Jun-26
0.02	59.749	1527022840	23-Jun-26
0	1.25	1527022842	23-Jun-26
0	1	1527022844	23-Jun-26
0.6	0	1527022849	23-Jun-26
0	40.432	1527022851	23-Jun-26
0	534	1527022855	23-Jun-26
1	0	1527022856	23-Jun-26
0.02	5.35	1527022858	23-Jun-26
126.1718	0.1259	1527022859	23-Jun-26
0.02	3.015	1527022864	23-Jun-26
0.2	0	1527022867	23-Jun-26
100.27	0.125	1527022869	23-Jun-26
1.7	0	1527022871	23-Jun-26
3.12	0.05	1527022875	23-Jun-26
0	20	1527022877	23-Jun-26
0	0.5	1527022878	23-Jun-26
0.02	50.2	1527022879	23-Jun-26
2	0	1527022881	23-Jun-26
55	0	1527022885	23-Jun-26
99.1	0	1527022886	23-Jun-26
0	3	1527022888	23-Jun-26
0	0.5	1527022889	23-Jun-26
1.5	0	1527022894	23-Jun-26
0.1	0	1527022895	23-Jun-26
2.5	0	1527022896	23-Jun-26
0.5	0	1527022898	23-Jun-26
1.02	0.025	1527022905	23-Jun-26
0	1.5	1527022906	23-Jun-26
0	100.9	1527022907	23-Jun-26
0.5	0	1527022911	23-Jun-26
2	0	1527022912	23-Jun-26
0	2.25	1527022915	23-Jun-26
0.37	0.025	1527022916	23-Jun-26
0	100	1527022917	23-Jun-26
10	0	1527022918	23-Jun-26
3.12	0.05	1527022919	23-Jun-26
37	0	1527022922	23-Jun-26
0.02	25.125	1527022925	23-Jun-26
0	1.5	1527022926	23-Jun-26
0	0.5	1527022927	23-Jun-26
2	0	1527022930	23-Jun-26
0	1	1527022931	23-Jun-26
0.5	0	1527022935	23-Jun-26
1	0	1527022937	23-Jun-26
0	1	1527022940	23-Jun-26
0	0.5	1527022945	23-Jun-26
0.02	5.025	1527022946	23-Jun-26
0	0.4	1527022948	23-Jun-26
0	5	1527022951	23-Jun-26
0	1	1527022954	23-Jun-26
0	10	1527022956	23-Jun-26
130	0	1527022958	23-Jun-26
0.5	0	1527022962	23-Jun-26
6	0	1527022963	23-Jun-26
0	4	1527022964	23-Jun-26
0.5	0	1527022965	23-Jun-26
27	0	1527022966	23-Jun-26
0	1	1527022970	23-Jun-26
0	0.5	1527022971	23-Jun-26
0.5	0	1527022973	23-Jun-26
8.1	0.04	1527022975	23-Jun-26
0	2	1527022976	23-Jun-26
0.02	7.035	1527022977	23-Jun-26
0	1	1527022978	23-Jun-26
0	2	1527022979	23-Jun-26
0	34	1527022983	23-Jun-26
4.12	0.05	1527022984	23-Jun-26
0.02	3.1	1527022986	23-Jun-26
0	0.2	1527022987	23-Jun-26
1	0	1527022988	23-Jun-26
0	925	1527022989	23-Jun-26
1	0	1527022992	23-Jun-26
0.9	0	1527022993	23-Jun-26
0	0.15	1527022995	23-Jun-26
0	1.5	1527022996	23-Jun-26
0	3	1527022997	23-Jun-26
20	0	1527023000	23-Jun-26
2.5	0	1527023001	23-Jun-26
0	70	1527023005	23-Jun-26
5	0	1527023009	23-Jun-26
0	0.5	1527023011	23-Jun-26
0	0.9	1527023013	23-Jun-26
0	3.2	1527023017	23-Jun-26
0.5	0	1527023018	23-Jun-26
2	0	1527023020	23-Jun-26
5.12	0.05	1527023022	23-Jun-26
0	100.72	1527023023	23-Jun-26
0	9	1527023024	23-Jun-26
0	100	1527023027	23-Jun-26
211.9	0	1527023028	23-Jun-26
0.02	4.1	1527023029	23-Jun-26
19.145	0.0625	1527023032	23-Jun-26
100.27	0.125	1527023033	23-Jun-26
7	0	1527023034	23-Jun-26
0	0.5	1527023035	23-Jun-26
0	302.7	1527023036	23-Jun-26
0	3.2	1527023038	23-Jun-26
20	0	1527023041	23-Jun-26
601.22	0.6	1527023043	23-Jun-26
0.37	0.025	1527023044	23-Jun-26
0	0.6	1527023045	23-Jun-26
0.5	0	1527023047	23-Jun-26
5	0	1527023048	23-Jun-26
2.12	0.05	1527023049	23-Jun-26
0	201.8	1527023050	23-Jun-26
0	0.5	1527023051	23-Jun-26
1.5	0	1527023052	23-Jun-26
0	504.5	1527023053	23-Jun-26
0	1	1527023055	23-Jun-26
0.02	5.1	1527023060	23-Jun-26
5.12	0.05	1527023062	23-Jun-26
0	104	1527023063	23-Jun-26
0	0.1	1527023064	23-Jun-26
6.12	0.05	1527023067	23-Jun-26
0	1.5	1527023069	23-Jun-26
0.9	0	1527023070	23-Jun-26
0	0.5	1527023071	23-Jun-26
0.5	0	1527023072	23-Jun-26
1.1	0	1527023074	23-Jun-26
400.82	0.4	1527023077	23-Jun-26
3	0	1527023078	23-Jun-26
0	5	1527023080	23-Jun-26
1	0	1527023081	23-Jun-26
0	0.2	1527023083	23-Jun-26
60.27	0.125	1527023085	23-Jun-26
1.62	0.05	1527023088	23-Jun-26
0	8.5	1527023096	23-Jun-26
0.02	251.25	1527023097	23-Jun-26
3	0	1527023098	23-Jun-26
0	6	1527023099	23-Jun-26
0	0.3	1527023100	23-Jun-26
0	1	1527023102	23-Jun-26
20	0	1527023103	23-Jun-26
11.4	0	1527023104	23-Jun-26
2.12	0.05	1527023105	23-Jun-26
0	1	1527023106	23-Jun-26
0	938	1527023108	23-Jun-26
0	3	1527023109	23-Jun-26
0	38	1527023114	23-Jun-26
0	1	1527023121	23-Jun-26
1	0	1527023127	23-Jun-26
18	0	1527023128	23-Jun-26
1	0	1527023132	23-Jun-26
0	0.2	1527023133	23-Jun-26
4	0	1527023135	23-Jun-26
0.6	0	1527023141	23-Jun-26
0	1	1527023142	23-Jun-26
0	2.3	1527023146	23-Jun-26
3	0	1527023147	23-Jun-26
0	1	1527023151	23-Jun-26
0	0.6	1527023152	23-Jun-26
2.12	0.05	1527023153	23-Jun-26
0	2.5	1527023154	23-Jun-26
